ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
,,,,,,,,,
FARMACIA INTRA HOSPITARIA CEAPS,FARMACIA,CARRETERA TOLUCA ALMOLOYA KM.4.6,SAN MATEO TLALCHICHILPAN,50092,ALMOLOYA DE JUAREZ,ESTADO DE MEXICO,1500509011,24 DE MAYO DE 2011,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA GUADALAJARA,FARMACIA,AV. TEGNOLOGICONO. 1311,SAN SALVADOR TLIZALTLALLI,52149,METEPEC,ESTADO DE MEXICO,1505409066,1 DE JUNIO DE 2012,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA HIDALGO,FARMACIA,AV. MIGUEL HIDALGO NO. 5070,SANTA CLARA,50090,TOLUCA,ESTADO DE MEXICO,1510609035,23 DE JUNO DE1991,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA ANCHIMA S.A. DE C.V.,FARMACIA,AV. DE LAS PARTIDAS S/N,INDEPENDENCIA,50200,TOLUCA,ESTADO DE MEXICO,1510609207,07 SEPTIEMBRE DE 2012,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA  HOSPITAL DEL ESPIRITU SANTO,FARMACIA,MELCHOR OCAMPO NO. 216 SUR,BARRIO DEL ESPIRITU SANTO,52140,METEPEC,ESTADO DE MEXICO,1505409068,07 SEPTIEMBRE DE 2012,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA INTRAHOSPITARIA CENTRO MED.ADOLFO LOPEZ M.,FARMACIA,"AV. NICOLAS SAN JUAN ESQ. 
GANADERIA",EX. HACENDA LA MAGDALENA,50200,TOLUCA,ESTADO DE MEXICO,15010690196,30 SEPTIEMBREDE 2012,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA INTRAHOSPITARIA HOSP.NICOLAS SAN JUAN.,FARMACIA,NICOLAS SAN JUAN S/N,EX. HACENDA LA MAGDALENA,50200,TOLUCA,ESTADO DE MEXICO,1.50106E+11,30 DE ENERO 2012,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
"FARMACIA INTRA HOSPITALARIA HOSPITAL PEDIATRICO MONICA 
PRETELINI",FARMACIA,"PASEO TOLLOCAN ESQ. MARIANO 
MATAMOROS",UNIVESIDAD,50000,TOLUCA,ESTADO DE MEXICO,1.50106E+11,30 DE ENERO 2012,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA SAMS CLUB A.M.,FARMACIA,ALFREDO DEL MAZO NO. 608,TLCOPA,50075,TOLUCA,ESTADO DE MEXICO,1.50106E+11,10 DE FEBRERO 2012,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA BODEGA AURERA ALPINISMO,FARMACIA,"MARIA REFUGIO ALEXANDER TARELO 
NO. 528",SAN BUENA VENTURA,50110,TOLUCA,ESTADO DE MEXICO,15010609200,10 DE FEBRERO 2012,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA BODEGA AURERA CAPULTITLAN,FARMACIA,CRISTOBAL COLON NO. 403,CAPULTITLAN,50115,TOLUCA,ESTADO DE MEXICO,1.50106E+11,10-Sep-12,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA GUADALAJARA SUC. OJUELOS,FARMACIA,"BOLVD. ADOLFO LOPEZ MATEOS 
NO.105",OJUELOS,51356,ZINACANTEPEC,ESTADO DE MEXICO,1.50118E+11,10-Sep-12,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA GUADALAJARA SUCURSAL SANTA CRUZ,FARMACIA,AGRIPIN GARCIA NO. 419,SANTA CRUZ OTZACATIPAN,50200,TOLUCA,ESTADO DE MEXICO,1.50106E+11,1 MARZO DE 2012,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA PHARMA CLUP,FARMACIA,1 RO. DE MAYO 3071 B,CENTRO,5000,TOLUCA,ESTADO DE MEXICO,1.50106E+11,20 DE MARZO 2012,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA GUADALAJARA SUC.PARTIDAS,FARMACIA,AV. DE LAS PARTIDAS NO. 602,CEDROS 4000,52000,LERMA,ESTADO DE MEXICO,1.50051E+11,16-Mar-12,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA N. LA PURISIMA,FARMACIA,H. GALEANA NO. 108 B,CENTRO,50000,TOLUCA,ESTADO DE MEXICO,1.50106E+11,20-Mar-12,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
ALMACEN DE DISTRIBUCION LOMEDIC S.A.DE C.V.,FARMACIA,SAN CARLOS NO. -3,CENTRO SAN CARLOS,52000,LERMA,ESTADO DE MEXICO,15051080001,10-abr-12,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA WALT MART SUPER CENTER,FARMACIA,JOSE LOPEZ PORTILLO NO. 1111,SAN MATEO OTZACATIPAN,50200,TOLUCA,ESTADO DE MEXICO,15106090109,27-abr-04,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA DISTRIBUCION NACIONAL,FARMACIA,EMILIANO ZAPATA MZA. 53 NO. 275,GEO VILLAS CENTENARIO,50200,TOLUCA,ESTADO DE MEXICO,15106090208,27-abr-04,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA GENERICOS SIMILARES Y PATENTES,FARMACIA,"PASEO DE LOS EUCALIPTOS MZA. 17 LT 
95 C101",LOS SAUCES,50290,TOLUCA,ESTADO DE MEXICO,1.50106E+11,17-Oct-12,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA DEL AHORRO SUC. PLAZA DEL ANGEL,FARMACIA,"LEONA VICARIO PTE. 801 LTE. PLANTA 
BAJA",LA PURISIMA,52140,TOLUCA,ESTADO DE MEXICO,15005409069,07-dic-12,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
"FARMACIA INTRA HOSPITALARIA HOSPITAL GENERAL REGIONAL 
251",FARMACIA,AV. ARBOL DE LA VIDA NO. 501,BOSQUES DE METEPEC,52140,METEPEC,ESTADO DE MEXICO,1505409070,17-ene-15,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA GUADALAJARA,FARMACIA,AV. 16 DE SEPTIEMBRE NO.310-A,BARRIO DE SAN MIGUEL,51350,ZINACANTEPEC,ESTADO DE MEXICO,1511809017,17-ene-13,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA REINGENIERIA DE INSUMOS,ALMACEN INSUMOS,ROBLES NO. 4,CASA BLANCA,52175,METEPEC,ESTADO DE MEXICO,1505408001,22 DE FEBRERO 2015,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA,FARMACIA,JOSEFA ORTIZ DE DOMINGUEZ NO. 472,BARRIO DE SAN MATEO,52175,METEPEC,ESTADO DE MEXICO,1505409071,28-Feb-15,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA ONCORED,FARMACIA,EMILIO CAMPA NO. 201,OCHO CEDROS,52140,METEPEC,ESTADO DE MEXICO,150609210,28-Feb-03,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA NUVA WALT MART SUPER CENTER,FARMACIA,LEONA VICARIO PTE. 502,LA PURISIMA,52156,METEPC,ESTADO DE MEXICO,1505409016,03-Sep-01,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA ANCHIMA S.A. DE C.V.,FARMACIA,"HACIENDA EL ARBOLITO MZA.13 LTE.29-
A",HACIENDA DEL VALLE II,50214,TOLUCA,ESTADO DE MEXICO,1510609207,07-Sep-12,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA SERVICIOS COORPORATIVOS JADE,FARMACIA,DERRO DE LA ESTRELLA NO. 100,JUAREZ,50190,TOLUCA,ESTADO DE MEXICO,1510609079,28-May-01,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
FARMACIA CLINICA DE ESPECIALADADES SAN FRANCISCO,FARMACIA,FELIPE VILLA NUEVA NO. 1014,MORELOS,50120,TOLUCA,ESTADO DE MEXICO,15010609211,24-abr-13,"ESTUPEFACIENTES, PSICOTROPICOS II y III,  
VACUNAS, TOXOIDES"
