ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA SAN JOSE,FARMACIA,MADERO No. 36,CENTRO,76500,CADEREYTA,QUERÉTARO,40030001,2004,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
CLINICA  HOSPITAL SAN ANTONIO,BOTICA,IV CENTENARIIO 636,CENTRO,76850,AMEALCO,QUERÉTARO,2201090373,2005,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"CONSULTORIO  MEDICO QUIRURGICO CON PACIENTES DE CORTA 
ESTANCIA",BOTICA,PASTEUR SUR No. 818,AZTECA,76080,QUERÉTARO,QUERÉTARO,22 014 10 0006,12/10/2000,"ESTUPEFACIENTES, PSICOTROPICOS Y HEMODERIVADOS"
DE DIOS,FARMACIA,"INDEPENDENCIA NORTE 44,","CENTRO, SANTA ROSA JAUREGUI",76220,QUERÉTARO,QUERÉTARO,08 22 14 0406,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"FARMACIA Y DROGUERIA BOTICA DE JESUS BADILLO, S.A. DE C.V.",DROGUERIA Y FARMACIA,HIDALGO 27,CENTRO,76800,SAN JUAN  DEL RIO,QUERÉTARO,22016080185,01/06/2017,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL, FORMULAS 
MAGISTRALES Y OFICINALES"
EL FENIX,FARMACIA,JUAREZ NORTE 73,CENTRO,76000,QUERÉTARO,QUERÉTARO,1400010561,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA BODEGA AURRERA UNIVERSIDAD SAN JUAN DEL RÍO,FARMACIA,AV. UNIVERSIDAD No. 285,"FRACC. DEL RANCHO SANTA CRUZ 
ESCANDON",76833,SAN JUAN  DEL RIO,QUERÉTARO,08 22 16 F-0408,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
FARMACIA KARLA,FARMACIA,20 DE NOVIEMBRE No. 176,CENTRO,76000,QUERÉTARO,QUERÉTARO,08 22 14 0403,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
"FARMACIAS GUADALAJARA, S.A DE C.V.",FARMACIA,"H. COLEGIO MILITAR No. 133, 
EZEQUIEL MONTES, QRO.",CENTRO,76650,EZEQUIEL MONTES,QUERÉTARO,08 22 07 0398,2008,"PSICOTRÓPICOS HEMODERIVADOS, VACUNAS, TOXOIDES, 
BIOLOGICOS, ANTITOXINAS, SUEROS DE ORIGEN ANIMAL"
