ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL",MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, 
III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
FARMACIA SAN FRANCISCO.,FARMACIA,INDEPENDENCIA #14.,CENTRO.,84920,ACONCHI,SONORA,26-001-09-0002,24-jun.-05,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES."
BOTICA DEL IMSS.,BOTICA,HECTOR MANUEL BARTOLINI #125.,CENTRO.,84920,ACONCHI,SONORA,26-001-10-0003,30-abr.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA ALJEDI.,FARMACIA,CALLE 27 Y 28 AVE. 2 ESQ.,EJIDAL.,84359,AGUA PRIETA,SONORA,26-0002-09-0020,21-feb.-03,"TOXOIDES, SUEROS DE ORIGEN ANIMAL."
FARMACIA ALVARO.,FARMACIA,CALLE 3 AVENIDAS 7-8 #750.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0075,10-sep.-15,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA ANGEL.,FARMACIA,CALLE 20 Y 21 AVE. 14 #2147-B,EJIDAL II.,84259,AGUA PRIETA,SONORA,26-002-09-0032,16-dic.-04,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES."
"FARMACIAS BENAVIDES SUC. 
AVENIDA 23",FARMACIA,"CARRETERA FEDERAL 2 S/N E/AVE. 
23 Y AVE. 25.",VALLARTA.,84260,AGUA PRIETA,SONORA,26-002-09-0067,26-nov.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL,  
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIAS BENAVIDES SUC. 
AGUA PRIETA.",FARMACIA,AVE. 3 #353.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0048,06-sep.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA BENAVIDES SUC. 
DEPORTIVA.",FARMACIA,CALLE QUINTA #390.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0047,06-sep.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA BUENA SALUD.,FARMACIA,13 AVES. 15 Y 16 #1580.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0036,15-dic.-05,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES."
BODEGA AURRERA AGUA PRIETA.,FARMACIA,"CARRET. 
INTERNACIONAL 
AGUA PTA.-JANOS S/N 
E/AVE. 23 Y AVE. 26.",VILDOSOLA.,84267,AGUA PRIETA,SONORA,26-002-09-0050,29-oct.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA CENTRO.,FARMACIA,CALLE 4 AVE. 9 Y 10 NO. 998.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0017,11-feb.-03,"PSICOTRÒPICOS (GRUPO II Y III), SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, 
HEMODERIVADOS."
FARMACIA CIRCULO A.,FARMACIA,CALLE 5 AVE. 7 #695.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0068,07-feb.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA CENTRAL.,FARMACIA,CALLE 13 AVE. 16 NO. 1599.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0023,02-abr.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, HEMODERIVADOS."
FARMACIA CENTRAL.,FARMACIA,"CALLE 13 AVE. 16 #1599 E/CALLE 12 
Y 13.",CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0035,14-dic.-05,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, HEMODERIVADOS."
FARMACIA DE JESUS.,FARMACIA,AVENIDA 33 SIN NUMERO.,"LUIS DONALDO 
COLOSIO.",84200,AGUA PRIETA,SONORA,26-002-09-0073,26-may.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL ."
"FARMACIA CON MINI SUPER 
ESTRELLA.",FARMACIA,CALLE 7 #601 E/CALLE 7 Y CALLE 8.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0069,19-feb.-13,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA GUADALUPANA.,FARMACIA,"CALLE 24 AVENIDA BENITO JUAREZ 
#68-A.",CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0004,03-may.-02,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS."
"BOTICA DEL HOSPITAL GRAL. DE 
SUBZONA NO. 12 IMSS.",BOTICA,"CALLE 13, AVE. 13 Y CALLE 14 ESQ. 
S/N.",CENTRO.,84200,AGUA PRIETA,SONORA,26-002-10-0002,10-dic.-02,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
BOTICA HOSPITAL INTEGRAL.,BOTICA,CALLE 4 AVE. 9 Y 10 NO. 902.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-10-0004,23-may.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
BOTICA HOSPITAL GENERAL.,BOTICA,CARRET. VIEJA A CANANEA S/N.,FFCC.,84210,AGUA PRIETA,SONORA,26-002-10-0007,14-may.-07,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
"HOSPITAL LATINOAMERICANO DE 
ESPECIALIDADES, S.A. DE C.V.",FARMACIA,CALLE 13 AVE. 22 #1280.,VALLARTA.,84260,AGUA PRIETA,SONORA,26-002-09-0052,05-jun.-08,"ESTUPEFACIENTES (GRUPO I), PSICOTRÒPICOS (GRUPO II Y III)."
FARMACIA ISSSTESON.,BOTICA,CALLE 8 AVENIDA 6 #597.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-10-0009,02-sep.-11,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS."
BOTICA JUAN DIEGO.,BOTICA,CALLE 12 Y 13 AVE. 26 S/N.,ACAPULCO.,84270,AGUA PRIETA,SONORA,26-002-10-0006,18-jun.-05,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES."
FARMACIA LA 29.,FARMACIA,CALLE 16 AVE. 29 #2900-B.,VALLARTA.,84260,AGUA PRIETA,SONORA,26-002-09-0053,31-jul.-08,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL",MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, 
III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS)"
MAXI-FARMACIA,FARMACIA,CALLE 7 AVENIDA 19 Y 20 #1980.,CENTRO.,84220,AGUA PRIETA,SONORA,26-002-09-0063,26-sep.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA M-A FARMACIA DEL 
AHORRO.",FARMACIA,CALLE 9 AVE. 21 Y 22 #2197 BIS.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0010,02-ago.-02,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA MARULY.,FARMACIA,CALLE 8 AVENIDAS 22 Y 23 NO. 2205.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0015,21-ene.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES."
OPTI-FARMA SWANN.,FARMACIA,CALLE 1 AVE. 5 Y 6.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0042,22-feb.-07,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
FARMACIA PRINCIPAL.,FARMACIA,CALLE 5 AV. 11 NO. 1109 BIS.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0027,09-sep.-03,"PSICOTRÒPICOS (GRUPO II Y III), TOXOIDES."
FARMACIA QUICK STOP.,FARMACIA,"CALLE INTERNACIONAL Y PRIMERA Y 
AVE. PANAMERICANA NO. 87.",CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0028,07-nov.-03,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SAGRADO CORAZON 
NO. II.",FARMACIA,CALLE 5 Y 6 AVENIDA 20 #549.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0074,06-ago.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, ANTITOXINAS DE ORIGEN ANIMAL."
"FARMACIA SANTAFE SUC. UNIDAD 
DEPORTIVA.",FARMACIA,"CALLE 5 #4090 Y AVE. 41, INTERIOR 
TIENDA.",DEPORTIVA.,84200,AGUA PRIETA,SONORA,26-002-09-0072,07-mar.-14,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. 
ESQUEDA.",FARMACIA,"CARRETERA A AGUA PRIETA #123 
ESQ. CALLE QUINTA.",CENTRO.,84330,AGUA PRIETA,SONORA,26-002-09-0064,16-nov.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. REAL DE 
AGUA PRIETA.",FARMACIA,AVENIDA 6 #2501 ESQ. CALLE 24.,CENTRO.,84200,AGUA PRIETA,SONORA,26-002-09-0065,20-nov.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. PUEBLO 
NUEVO.",FARMACIA,AVENIDA 18 S/N ESQ. CALLE 25.,BELTRONES.,84269,AGUA PRIETA,SONORA,26-002-09-0066,20-nov.-12,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
"FARMACIA SANTAFE SUC. CALLE 
13 Y 33.",FARMACIA,CALLE 13 Y AVE. 33 ESQ.,"LUIS DONALDO 
COLOSIO.",84270,AGUA PRIETA,SONORA,26-002-09-0060,23-feb.-11,"PSICOTRÒPICOS (GRUPO II Y III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS."
