ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
FARMACIA DEL ISSSTE,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS","PROLONGACION VENUSTIANO 
CARRANZA S/N.",COL. EL CARMEN,86930,BALANCAN,TABASCO,27001010412,31/05/2011,
FARMACIA MI BODEGA AURRERA BALANCAN,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",AV. GREGORIO MENDEZ SN.,COL. CENTRO,86935,BALANCAN,TABASCO,27001010579,24/02/2016,
"FARMACIA DEL HOSPITAL GENERAL DE 
BALANCAN","464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS","KM. 1 CARRETERA BALANCAN-
VILLAHERMOSA",EL CARMEN,86930,BALANCAN,TABASCO,27001010003,08/04/2002,
FARMACIA DE DESCUENTO UNION,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS","AV. EUSEBIO CASTILLO ESQ. VICENTE 
GUERRERO S/N.",LAS FLORES,86930,BALANCAN,TABASCO,27001010372,17/02/2010,
FARMACIA ARELI,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",EUSEBIO CASTILLO NO. 514,LAS FLORES,86930,BALANCAN,TABASCO,27001010001,14/03/2002,
LA PEQUEÑA,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",EUSEBIO CASTILLO S/N.,LAS FLORES,86930,BALANCAN,TABASCO,27001010002,23/08/2006,
FARMACIAS DE DESCUENTO UNION,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",CALLE JOSEFA ORTIZ 802,CENTRO,86930,BALANCAN,TABASCO,27001010772,09/04/2018,
FARMACIA YZA BALANCAN CENTRO,"464112 FARMACIA CON MINISUPER (CON 
VENTA DE MEDICAMENTOS CONTROLADOS, 
BIOLOGICOS Y HEMODERIVADOS",EUSEBIO CASTILLO 102,SAN JOAQUIN,86930,BALANCAN,TABASCO,27001010640,14/10/2016,
"FARMACIA DE LA UNIDAD MEDICAFAMILIAR 
NUM.36","464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS","PROLONGACION BENITO JUAREZ Y 
ANILLO PERIFERICO S/N.",CENTRO,86930,BALANCAN,TABASCO,27001010004,27/10/2006,
"FARMACIA INTRAHOSPITALARIA DE LA 
CLINICA DEL CARMEN","464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",AVENIDA LAZARO CARDENAS 1004,CENTRO,86500,CARDENAS,TABASCO,27002010823,19/08/2019,
FARMACIA DANY,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)","AV.JUAREZ NUM.69 ""A""",CENTRO,86460,CARDENAS,TABASCO,27002010006,,
FARMACIA ALEJANDRA,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",MOCTEZUMA NUM. 828,CENTRO,86500,CARDENAS,TABASCO,27002010019,,
FARMACIA DEL PUEBLO,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ALDAMA ESQ. AQUILES SERDAN S/N.,"VILLA YPUERTO SANCHEZ 
MAGALLANES",86460,CARDENAS,TABASCO,27002010025,,
UNIDAD DE MEDICINA FAMILIAR NUM. 12(IMSS),"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",PEDRO C. COLORADO S/N.,POBLADO C-26,86500,CARDENAS,TABASCO,27002010008,,
"FARMACIA U.M.F. VILLA BENITO JUAREZ 
(ISSSTE)","623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",AV. PARAISO S/N.,"CENTRO/VILLA BENITO 
JUAREZ",86500,CARDENAS,TABASCO,27002010435,,
ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE"
FARMACIA SAM´S CLUB CARDENAS,"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",PERIFERICO CARLOS MOLINA NUM. 2,SANTA CRUZ,86500,CARDENAS,TABASCO,27002010403,,
UNIDAD DE MEDICINA FAMILIAR No.14 (IMSS),"623011 COMERCIO AL POR MENOR DE 
PRODUCTOS FARMACEUTICOS Y DE 
PERFUMERIA (SI VENDEN ESTUPEFACINTES, 
PSICOTROPICOS, BIOLOGICOS Y 
HEMODERIVADOS)",ENTRE LA CALLE 4 Y 5,"POBLADO C-33 ""20 DE 
NOVIEMBRE""",86400,CARDENAS,TABASCO,27002010551,,
FARMACIA SAN AGUSTIN,"464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS","PROLONGACION RAMON LOPEZ 
VELARDE 30",COL. EL TOLOQUE,86532,CARDENAS,TABASCO,27002010807,14/03/2019,
"FARMACIA INTRAHOSPITALARIA DE LA 
UNIDAD MEDICA LA SANTISIMA TRINIDAD","464111 FARMACIA SIN MINISUPER ( INCLUYE 
DROGUERIAS Y BOTICAS CON VENTA DE 
MEDICAMENTOS 
CONTROLADOS,BIOLOGICOS Y 
HEMODERIVADOS",MARIANO ABASOLO 128,COL. CENTRO,86500,CARDENAS,TABASCO,27002010788,09/08/2018,
