PROPIETARIO,ESTABLECIMIENTO,GIRO,CALLE,COLONIA,CODIGO POSTAL,"MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES 
GRUPO I), (PSICOTRÓPICOS GRUPOS  II, III), VACUNAS, TOXOIDES, 
SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS, (I,II,III,V,T,S,A,H) METADONA, OXYCONTIN)"
"SECRETARIA  DE 
ADMINISTRACION Y 
FINANZAS",CERESO MERIDA,BOTICA,CALLE 60 S/N,"EX HACIENDA SAN 
JOSE TECOH",97000,MERIDA,YUCATAN,BO0500011,13-oct-06,"GRUPO I,  II, III, VACUNAS Y  TOXOIDES"
FARMACON SA DE CV,"FARMACIA YZA 
YUCALPETEN",FARMACIA,C 122 No 333-A X 65 Y 67,YUCALPETEN,97248,MERIDA,YUCATAN,FA0500020,13-mar-06,"GRUPO II, II, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"PRODUCTOS QUIMICOS DE 
YUCATAN SA DE CV","FARMACIA PRODUCTOS 
QUIMICOS DE YUCATAN",FARMACIA,"CALLE 65 No 475 DEPTO 1 X 
54 Y 56",CENTRO,97000,MERIDA,YUCATAN,FA0500255,23-may-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
"INSTITUTO MEXICANO DEL 
SEGURO SOCIAL",I.M.S.S.,FARMACIA,CALLE 21 S/N X 16 Y 18,CENTRO,97800,MAXCANU,YUCATAN,FA0480033,31-ago-07,"GRUPO I, II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"IMPULSORA FARMACEUTICA 
DEL BAZAR SA DE CV",DEL BAZAR DEL NORTE,FARMACIA,"CALLE 19 No 92-C LOCAL 6 
X 28 Y 30",MEXICO NORTE,97100,MERIDA,YUCATAN,FA0500077,9-jun-06,"GRUPO I,II, III,VACUNAS, TOXOIDES,SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIEGEN ANIMAL, 
HEMODERIVADOS, GRUPO IV,V Y VI"
"MEDICAMENTOS 
POPULARES DEL BAZAR SA 
CV","FARMACIA BAZAR 
SUCURSAL UMAN",FARMACIA,C 18 No 94 X 19-A Y 21-A,CENTRO,97390,UMAN,YUCATAN,FA0590120,09-nov-06,"GRUPO  II, III, VACUNAS, HEMODERIVADOS Y  TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA CHICXULUB,FARMACIA,C19 No 49-A X 18 Y 20,CENTRO,97330,CHICXULUB PUERT,"OY,U PCRAOTGARNESO",FA0590124,06-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEMODERIVADOS"
FARMACON SA DE CV,FARMACIA YZA MAYA,FARMACIA,C 26 No 290 X 17 Y 19,MIGUEL ALEMAN,97148,MERIDA,YUCATAN,FA0500127,06-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, , HEMODERIVADOS"
FARMACON SA DE CV,FARMACIA YZA DIAZ ORDAZ,FARMACIA,C 6 No 364-A X 7,DIAZ ORDAZ,97130,MERIDA,YUCATAN,FA0500128,28-nov-12,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,"YZA FRANCISCO DE 
MONTEJO",FARMACIA,CALLE 42 # 450 X 61,"FRANCISCO DE 
MONTEJO",97206,MERIDA,YUCATAN,FA0500148,06-abr-06,"GRUPO II, III, VACUNAS,  SUEROS DE ORIGEN 
ANIMAL,HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA FIESTA,FARMACIA,C 6 No 426 X 1,DIAZ ORDAZ,97130,MERIDA,YUCATAN,FA0500159,6-abr-2006,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES."
FARMACON SA DE CV,YZA DORADA,FARMACIA,"CALLE 50 No 143 LOC 1 
CENTRO COMERCIAL 
PLAZA DORADA",MIGUEL HIDALGO,97220,MERIDA,YUCATAN,FA0500173,06-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL,  HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA MADERO,FARMACIA,C 31 No 193-E X 26,"FRANCISCO I. 
MADERO",97240,MERIDA,YUCATAN,FA0500175,05-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, HEODERIVADOS"
"TIENDAS CHEDRAUI, S.A. DE 
CV",CHEDRAUI,FARMACIA,"AV. PASEO DE MONTEJO 
No 454  X 27-A Y 29-A",ITZIMNA,97100,MERIDA,YUCATAN,FA0500210,06-abr-06,GRUPO II Y III
"CARRILLO CASTILLO ROSY 
AYLIN",FARMACIA AURELIO,FARMACIA,C 20 No 76 X 17 Y 19,CENTRO,,DZILAM GONZALEZ,YUCATAN,FA0290225,30-oct-06,"GRUPO II, III, VACUNAS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA GLORIETA,FARMACIA,"C 32 No 200-A DEPTO 5 X 
AV COLON",GARCIA GINERES,97070,MERIDA,YUCATAN,FA0500278,06-abr-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL Y HEMODERIVADOS,"
FARMACON SA DE CV,FARMACIA YZA TANLUM,FARMACIA,"C 25 No 203-B X GLORIETA 
DE TANLUM",TANLUM,97070,MERIDA,YUCATAN,FA0500279,06-mar-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL,  
HEMODERIVADOS Y TOXOIDES"
PASOS PINTO SILVIA ELENA,CENTRAL MEDICA,FARMACIA,"CALLE 7 # 215-A DEPTO. 9 X 
32 Y 34",GARCIA GINERES,97070,MERIDA,YUCATAN,FA0500282,11-ago-06,"GRUPO II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, 
HEMODERIVADOS"
"DISTRIBUIDORA DE 
MEDICAMENTOS CIFLO SA 
DE CV","EMERITA FARMACIAS 
SUCURSAL SAN CRISTOBAL",FARMACIA,CALLE 69 No 441 X 48,CENTRO,97000,MERIDA,YUCATAN,FA0500322,08-dic-06,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS Y 
TOXOIDES"
"NUEVA WAL MART DE 
MEXICO S DE RL DE CV",SUPERAMA MONTEJO,FARMACIA,C 30 No 500 X 34 Y 32,MEXICO,97125,MERIDA,YUCATAN,FA0500283,10-dic-07,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA MERCADO,FARMACIA,"CALLE 67 No 487 DEPTO. A 
X 56 ESQ.",CENTRO,97000,MERIDA,YUCATAN,FA0500327,30-oct-07,"GRUPO II, III, VACUNAS, SUEROS DE ORIGEN ANIMAL, 
HEMODERIVADOS Y TOXOIDES"
FARMACON SA DE CV,FARMACIA YZA AVIACION,FARMACIA,CALLE 71 No 626 X 86-B,"NO ESPECIFICADA 
EN EL CATALOGO",97240,MERIDA,YUCATAN,FA0500370,05-abr-06,"GRUPO  II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL Y  HEMODERIVADOS"
