ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS 
(ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN
ANIMAL, HEMODERIVADOS)"
,,OCAMPO #211 OTE.,CENTRO,98500,CALERA,ZACATECAS,32 005 09 0001,05/03/99,"II, II, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CALLE HIDALGO #301 PONIENTE,CENTRO,98500,CALERA,ZACATECAS,32 005 09 0006,30/10/96,VACUNAS
,,5 DE MAYO 216 SUR,CENTRO,98500,CALERA,ZACATECAS,32 005 09 0007,20/08/99,II Y III
,,C. 5 DE MAYO SUR #104,CENTRO,98500,CALERA,ZACATECAS,32 005 09 0009,17/06/19,"II, II, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,BENITO JUAREZ #203 NTE.,CENTRO,98500,CALERA,ZACATECAS,32 005 09 0013,02/12/15,"II, III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,C. JOSE MARIA MORELOS #302 ORIENTE,CENTRO,98500,CALERA,ZACATECAS,32 005 09 0014,22/08/18,"II, III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,TRÁNSITO #299,CENTRO,98500,CALERA,ZACATECAS,32 005 10 0001,10/06/99,"II, III, VACUNAS, TOXOIDES"
,,JUAN  ALDAMA ESQ. JOSÉ B. REYES S/N,CENTRO,98500,CALERA,ZACATECAS,32 005 10 0002,15/06/99,"II, II, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,PROL. 5 DE MAYO #610 NTE.,CENTRO,98500,CALERA,ZACATECAS,32 005 10 0003,04/03/98,"II, III, VACUNAS, TOXOIDES"
,,CALLE MORELOS S/N,CENTRO/TORIBIO,98500,CALERA,ZACATECAS,32 005 10 0004,01/12/99,"II, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS"
,,AV. ESTEBAN CARRANZA #1,JOSÉ MA. MORELOS Y PAVÓN,98507,CALERA DE VÍCTOR ROSALES,ZACATECAS,32 005 10 0005,27/02/19,"I, II,  III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,PROLONGACIÓN 5 DE MAYO # 1702-SUR,PARQUE INDUSTRIAL/CALERA,98500,CALERA,ZACATECAS,32 005 10 0006,30/09/10,"II, III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,PROLONGACIÓN 5 DE MAYO # 1702,CENTRO,98500,CALERA,ZACATECAS,32 005 10 0007,14/03/12,"II, III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,PROLONGACIÓN 5 DE MAYO # 1702-SUR,PARQUE INDUSTRIAL,98500,CALERA,ZACATECAS,32 005 10 0010,06/03/14,"II, III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,PROLONGACION 5 DE MAYO # 1702 SUR,PARQUE INDUSTRIAL,98500,CALERA,ZACATECAS,32 005 10 0011,07/10/14,"II, III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,DR. ESTEBAN CARRANZA # 1,CENTRO,98500,CALERA,ZACATECAS,32 005 10 0013,27/10/14,"II, III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,CALLE MORELOS #60,COM. RAMON LOPEZ VELARDE,98510,CALERA,ZACATECAS,32 005 10 0014,04/04/18,"II, III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,CALLE SAN ISIDRO # 25,LOS PERALES,98600,GENARO CODINA,ZACATECAS,32 012 10 0001,05/07/99,"II, III, VACUNAS"
,,DOMICILIO CONOCIDO,EL TEPETATE,98660,GENARO CODINA,ZACATECAS,32 012 10 0002,05/07/99,"II, III, VACUNAS, SUEROS, ANTITOXINAS, TOXOIDES"
,,CDA. MARIANO MATAMOROS #60,GENARO CODINA,98660,GENARO CODINA,ZACATECAS,32 012 10 0003,14/12/99,"II, III, VACUNAS, TOXOIDES"
,,CALLE AGUA ZARCA #6,GENARO CODINA,98660,GENARO CODINA,ZACATECAS,32 012 10 0004,02/05/18,"II, III, VACUNAS, SUEROS, ANTITOXINAS, HEMODERIVADOS, TOXOIDES"
,,PLAZUELA DE LA LIBERTAD # 7,CENTRO,98600,GUADALUPE,ZACATECAS,32 017 09 0001,16/01/95,"II, III, VACUNAS"
,,CALLE MADERO #1,CENTRO,98600,GUADALUPE,ZACATECAS,32 017 09 0011,30/11/92,"II, III, HEMODERIVADOS"
,,JOSÉ MARÍA RODRÍGUEZ #3-A,CENTRO,98600,GUADALUPE,ZACATECAS,32 017 09 0012,15/02/95,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS"
,,"CALLE 5 DE MAYO #58, ESQ. GUERRERO",EJIDAL,98600,GUADALUPE,ZACATECAS,32 017 09 0014,10/03/99,II Y II
,,AV. MÉXICO No. 109-A,FRACC. LA FLORIDA,98064,GUADALUPE,ZACATECAS,32 017 09 0017,01/07/92,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS"
,,CALLE CABALLEROS #2,VALLE DEL CONDE,98615,GUADALUPE,ZACATECAS,32 017 09 0023,05/03/02,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,BLVD. GARCÍA SALINAS #19,EL CARMEN,98608,GUADALUPE,ZACATECAS,32 017 09 0025,21/02/03,"I, II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,PASEO GARCÍA SALINAS # 15-C,EL CARMEN,98600,GUADALUPE,ZACATECAS,32 017 09 0026,30/06/03,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,H. COLEGIO MILITAR #89-B,CENTRO,98600,GUADALUPE,ZACATECAS,32 017 09 0027,29/10/03,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CALZ. FCO. GARCÍA SALINAS #329-B,LOMAS DEL CONVENTO,98609,GUADALUPE,ZACATECAS,32 017 09 0032,17/06/19,"I, II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CALZ. FCO. GARCÍA SALINAS #70,EL CARMEN,98630,GUADALUPE,ZACATECAS,32 017 09 0035,10/04/05,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,HIDALGO #61,TACOALECHE,98600,GUADALUPE,ZACATECAS,32 017 09 0043,02/01/96,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CAR. A SAUCEDA DE LA BORDA #36,SPAUAZ,98600,GUADALUPE,ZACATECAS,32 017 09 0045,06/09/19,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CALZADA GARCIA SALINAS SIN NÚMERO,CENTRO,98600,GUADALUPE,ZACATECAS,32 017 09 0046,21/03/19,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,BLVD. LÓPEZ PORTILLO S/N,DEPENDENCIAS FEDERALES,98618,GUADALUPE,ZACATECAS,32 017 09 0047,06/09/19,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. GARCÍA SALINAS32-B,EL SALERO,98620,GUADALUPE,ZACATECAS,32 017 09 0049,27/08/09,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. GARCIA SALINAS #2-A,BONATERRA,98618,GUADALUPE,ZACATECAS,32 017 09 0050,18/11/09,"II, III, VACUNAS, TOXOIDES"
,,CAMINO REAL # 37,CAMINO REAL,98620,GUADALUPE,ZACATECAS,32 017 09 0052,18/06/10,"II, III, VACUNAS, TOXOIDES"
,,AV. SECRETARIA DE PROG. Y PRESUPUESTO #8,ZONA INDUSTRIAL,98650,GUADALUPE,ZACATECAS,32 017 09 0054,30/11/10,"I, II, III, VACUNAS, TOXOIDES"
,,KM 4 CARR. ZACATECAS GUADALUPE,DEPENDENCIAS FEDERALES,98600,GUADALUPE,ZACATECAS,32 017 09 0055,01/01/05,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,COLEGIO MILITAR # 40,CENTRO,98615,GUADALUPE,ZACATECAS,32 017 09 0056,17/08/11,"II, III, VACUNAS, TOXOIDES"
,,GARCIA SALINAS # 23,EL CARMEN,98630,GUADALUPE,ZACATECAS,32 017 09 0058,01/08/19,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CALZADA REVOLUCION MEXICANA #19,LOMAS DEL CONSUELO,98600,GUADALUPE,ZACATECAS,32 017 09 0059,18/06/13,"II, III, VACUNAS, TOXOIDES"
,,CALZADA FRANCISCO GARCÍA SALINAS #58 INT. A,VILLAS DEL CARMEN,98100,GUADALUPE,ZACATECAS,32 017 09 0060,02/08/13,"II, III, TOXOIDES"
,,AV. LA CONDESA # 71-A,SPAUAZ,98100,GUADALUPE,ZACATECAS,32 017 09 0064,11/03/14,"II, III, VACUNAS, TOXOIDES"
,,CALZADA FRANCISCO GARCIA SALINAS # 502,LOMAS DEL CONVENTO,98100,GUADALUPE,ZACATECAS,32 017 09 0065,09/10/14,"II, III, VACUNAS, TOXOIDES"
,,"CALZADA MEXICO LOCALES 7,8 Y 9 S/N",DE LAS DEPENDENCIAS FEDERALES,98100,GUADALUPE,ZACATECAS,32 017 09 0066,15/10/14,II Y III
,,CARR. SAUCEDA DE LA BORDA # 301,GALERIAS,98100,GUADALUPE,ZACATECAS,32 017 09 0067,04/11/14,"II, III, VACUNAS, TOXOIDES"
,,"CARRETERA SAUCEDA DE LA BORDA # 299, FRACCION II Y IV",COL. EJIDO VILLA DE GUADALUPE,98612,GUADALUPE,ZACATECAS,32 017 09 0068,20/11/14,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. SINDICATOS #79,SPAUAZ,98050,GUADALUPE,ZACATECAS,32 017 09 0070,02/06/15,"II, III, VACUNAS, TOXOIDES"
,,PEDRO CORONEL #126,LA CAÑADA LA BUFA,98050,GUADALUPE,ZACATECAS,32 017 09 0071,02/12/15,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. PROLONGACION LA FE #2-A,PRIVADA SANTA LUCIA,98615,GUADALUPE,ZACATECAS,32 017 09 0072,05/04/17,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. SEGUNDA LOS BARONES #354,FRACCIONAMIENTO LAS QUINTAS,98607,GUADALUPE,ZACATECAS,32 017 09 0073,05/03/18,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS,  ANTITOXINAS"
,,CARRETERA A SAUCEDA DE LA BORDA #307,COLONIA GALERIAS,98612,GUADALUPE,ZACATECAS,32 017 09 0074,03/12/18,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS,  ANTITOXINAS"
,,AV. ZACATECAS #215,TACOALECHE,98630,GUADALUPE,ZACATECAS,32 017 09 0075,29/05/19,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS,  ANTITOXINAS"
,,CALLE LATERAL CARRETERA ZACATECAS-AGUASCALIENTES #11,4GUADALUPE,98612,GUADALUPE,ZACATECAS,32 017 09 0076,23/09/19,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS,  ANTITOXINAS"
,,CALLE FRAY MARGIL DE JESUS #25 INT. A,GUADALUPE,98605,GUADALUPE,ZACATECAS,32 017 09 0077,26/11/19,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS,  ANTITOXINAS"
,,AVENIDA VILLA DE GUADALUPE #11,VILLA SUR,98612,GUADALUPE,ZACATECAS,32 017 09 0078,18/12/19,"II, III, VACUNAS, TOXOIDES, HEMODERIVADOS, SUEROS,  ANTITOXINAS"
,,DOMICILIO CONOCIDO,CENTRO/CASA BLANCA,98048,GUADALUPE,ZACATECAS,32 017 10 0002,05/07/99,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. MÉXICO ESQ. RESTAURADORES S/N,FCTO. DEP. FEDERALES,98048,GUADALUPE,ZACATECAS,32 017 10 0003,01/09/99,"II, III, TOXOIDES"
,,VIALIDAD ARROYO DE LA PLATA S/N,ZONA INDUSTRIAL,98140,GUADALUPE,ZACATECAS,32 017 10 0005,21/06/99,"II, III, VACUNAS, SUEROS"
,,DOMICILIO CONOCIDO,ZOQUITE,98000,GUADALUPE,ZACATECAS,32 017 10 0007,28/06/99,"II, III, TOXOIDES"
,,AV. FERROCARRIL # 98,SAN JERONIMO,98140,GUADALUPE,ZACATECAS,32 017 10 0008,28/06/99,"II, III, TOXOIDES"
,,JOSEFA ORTIZ DE DOMÍNGUEZ S/N,LA ZACATECANA,9800,GUADALUPE,ZACATECAS,32 017 10 0009,05/07/99,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,REAL DE SACRAMENTO ESQ. REAL DE VALPARAISO S/N,FCTO. CAMINO REAL,98615,GUADALUPE,ZACATECAS,32 017 10 0010,03/12/18,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,HIDALGO S/N,TACOALECHE,98000,GUADALUPE,ZACATECAS,32 017 10 0011,14/11/99,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,PLAN DE AYALA #5,1RA. SECC. TIERRA Y LIBERTAD,98000,GUADALUPE,ZACATECAS,32 017 10 0014,10/01/19,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,PROGRAMACIÓN Y PRESUPUESTO Nº 7-L,ZONA INDUSRIAL,98000,GUADALUPE,ZACATECAS,32 017 10 0015,06/09/06,"II, III, VACUNAS, TOXOIDES, ANTITOXINAS, HEMODERIVADOS"
,,AV. GARCIA SALINAS S/N,EL CARMEN,98600,GUADALUPE,ZACATECAS,32 017 10 0017,30/01/19,"I, II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,PROGRAMACIÓN Y PRESUPUESTO #7L,ZONA INDUSTRIAL,98600,GUADALUPE,ZACATECAS,32 017 10 0018,02/05/18,"I, II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. GARCIA SALINAS S/N,EL CARMEN,98608,GUADALUPE,ZACATECAS,32 017 10 0019,02/05/18,"I, II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV.SECRETARIA DE LA DEFENSA NACIONAL S/N,ZONA INDUSTRIAL,98064,GUADALUPE,ZACATECAS,32 017 10 0021,20/06/13,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS"
,,CALLE 1910 #123,CENTRO,98600,GUADALUPE,ZACATECAS,32 017 10 0022,29/04/19,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,VIALIDAD ARROYO DE LA PLATA S/N,ZONA INDUSTRIAL,98000,GUADALUPE,ZACATECAS,32 017 10 0023,07/09/15,"I,II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,VIALIDAD GARCIA SALINAS #122,ARBOLEDAS,98608,GUADALUPE,ZACATECAS,32 017 10 0024,09/02/18,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CALLE 20 DE NOVIEMBRE #38,CENTRO,98658,GUADALUPE,ZACATECAS,32 017 10 0025,02/05/18,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AVENIDA BARONES #3,EJIDAL,98613,GUADALUPE,ZACATECAS,32 017 10 0026,02/05/18,"I, II Y III"
,,AVENIDA PEDRO CORONEL SIN NUMERO,LOS PRADOS,98610,GUADALUPE,ZACATECAS,32 017 10 0027,02/05/18,II Y III
,,CALLE PASEO INDUSTRIAL SIN NUMERO,ZONA INDUSTRIAL,98600,GUADALUPE,ZACATECAS,32 017 10 0028,18/05/18,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. PEDRO CORONEL S/N,LOS PRADOS,98610,GUADALUPE,ZACATECAS,32 017 10 0029,18/05/18,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CALLE INSURGENTES #23,EL BORDO,98621,GUADALUPE,ZACATECAS,32 017 10 0030,16/07/18,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,AV. PROLONGACION VETAGRANDE #3,COL. GANADEROS,98619,GUADALUPE,ZACATECAS,32 017 10 0031,28/10/19,II Y III
,,CALLE VILLA DEL SAUCE LLORÓN #7 B,FCTO. VILLAS DE GUADALUPE,98612,GUADALUPE,ZACATECAS,32 017 11 0001,21/03/19,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,CALLE HIDALGO #10,CENTRO,98000,MORELOS,ZACATECAS,32 032 09 0002,10/03/99,II Y III
,,SAN ANTONIO #24,CENTRO,98000,MORELOS,ZACATECAS,32 032 09 0003,01/06/95,"II, III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS, HEMODERIVADOS"
,,VOLCÁN # 13,CENTRO,98000,MORELOS,ZACATECAS,32 032 09 0004,01/07/05,"I, II, III, VACUNAS, TOXOIDES, HEMODERIVADOS"
