ESTABLECIMIENTO,"GIRO (FARMACIA, 
BOTICA 
,DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), (PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No.20",FARMACIA,"DOMICILIO CONOCIDO, CENTRAL 
HIDROELECTRICA BELISARIO 
DOMINGUEZ, ANGOSTURA",,,ACALA,CHIAPAS,07002090001,06/01/2003,"I, II, III, VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
UNIDAD MEDICA FAMILIAR,FARMACIA,AV. MORELOS No.46,CENTRO,,ACALA,CHIAPAS,07002090004,23/07/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL INTEGRAL 
DR. MANUEL VELASCO SUAREZ",FARMACIA,"AV. MORELOS S/N, ACALA",BARRIO CRUZ MISION,29370,ACALA,CHIAPAS,07002090005,27/11/2003,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"DALTEM PROVEE NACIONAL S.A. DE 
C.V. FCIA. HI ACALA",FARMACIA,"INT. DEL HI ACALA, AV. MORELOS",BARRIO CRUZ MISION,29370,ACALA,CHIAPAS,07002090008,06/08/2013,"I, II, III, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"NADRO S.A.P.I. DE C.V. HOSPITAL 
BASICO COMUNITARIO ACALA",FARMACIA,"INT. DEL HOSPITAL BASICO 
COMUNITARIO ACALA, AVENIDA 
MORELOS S/N",BARRIO CRUZ MISION,29370,ACALA,CHIAPAS,07002090010,03/08/2015,"I, II, III, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL, TOXOIDES, VACUNAS Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD DE 
MEDICINA FAMILIAR No. 20 EXT 
ACALA",FARMACIA,CALLE EL RECREO S/N,BARRIO SAN JOSE,29370,ACALA,CHIAPAS,07002090012,21/12/2016,"I, II , III, VACUNAS, TOXOIDES, SUEROS Y ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA DE LA UNIDAD MEDICA 
FAMILIAR No.22",FARMACIA,"1a. CALLE ORIENTE ESQ. 3a. AV. SUR 
S/N",COL. CENTRO,30600,ACAPETAHUA,CHIAPAS,07003090001,09/09/2004,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIAS ESQUIVAR S.A. DE C.V. 
SUCURSAL ACAPETAHUA",FARMACIA,"AV. CENTRAL SUR No.22, CENTRO",CENTRO,,ACAPETAHUA,CHIAPAS,07003090002,22/02/2005,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL CENTRO DE SALUD 
ACAPETAHUA",FARMACIA,"1a. AV. SUR S/N, CENTRO",CENTRO,,ACAPETAHUA,CHIAPAS,07003090003,21/12/2006,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
"FARMACIA DEL HOSPITAL RURAL DE 
ALTAMIRANO Q",FARMACIA,"BLVD. 20 DE NOVIEMBRE S/N,",BARRIO EL CAMPO,,ALTAMIRANO,CHIAPAS,07004090001,09/07/1996,"I, II, III,VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, ANTITOXINAS Y HEMODERIVADOS"
