ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
,FARMACIA,"C. HIMNO NACIONAL Nº 4306 
PTE.",COL. SAN FELIPE DEL REAL,32170,JUÁREZ,CHIHUAHUA,08037090001,10/09/2001,TOXOIDES
FARMACIA SAN VICENTE,FARMACIA,"AV. CARLOS AMAYA Y TIXTLA 
ESQ.",COL. GALEANA,32230,JUÁREZ,CHIHUAHUA,08037090002,10/09/2001,TOXOIDES
BOTICA INTRAHOSP. DEL HOSPITAL INFANTIL DEL ESTADO,BOTICA,AV. MATAMOROS S/N,COL. JARDINES DEL SANTUA,31020,CHIHUAHUA,CHIHUAHUA,08019100001,10/09/2001,PSICOTRÓPICOS
FARMACIA DALIA,FARMACIA,C. GARAMBULLO Nº 7141,COL. HEROES DE LA REVOLU,32600,JUÁREZ,CHIHUAHUA,08037090003,10/09/2001,PSICOTRÓPICOS
FARMACIA SORIANA SAUCITO,FARMACIA,"PERIFERICO DE LA JUVENTUD 
Nº 6",COL. SAUCITO,31165,CHIHUAHUA,CHIHUAHUA,08019090001,10/09/2001,TOXOIDES
"DROGUERIA CLINICA INT. DE TRATAMIENTO CONTRA LAS 
ADICCIONES",DROGUERIA,"AV. JUAN ESCUTIA Nº 286 
NORTE",COL. MARGARITAS,32300,JUÁREZ,CHIHUAHUA,08037110003,10/09/2001,ESTUPEFACIENTES
FARMACIA SORIANA SUCURSAL TECNOLOGICO,FARMACIA,AV. TECNOLOGICO Nº 2701,FRACC.  EL MARQUEZ,32610,JUÁREZ,CHIHUAHUA,08037090006,12/09/2001,PSICOTRÓPICOS
FARMACIA SMART LIBRAMIENTO,FARMACIA,"BLVD. INDEPENDENCIA Nº 
1511","COL.  ZARAGOZA, D. B.",32570,JUÁREZ,CHIHUAHUA,08037090007,12/09/2001,TOXOIDES
FARMACIA DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL,FARMACIA,C. HENRY DUNANT Nº 610,COL. ANILLO ENVOLVENTE P,32310,JUÁREZ,CHIHUAHUA,08037090008,12/09/2001,TOXOIDES
FARMACIA FEMAP,FARMACIA,"PERIMETRAL CARLOS AMAYA 
Y CART",COL. CONSTITUCION,32260,JUÁREZ,CHIHUAHUA,08037090009,12/09/2001,PSICOTRÓPICOS
"BOTICA INTRAHOSP. DE LA UNIDAD DE MEDICINA FAMILIAR 
Nº 44",FARMACIA,"AV. TECNOLOGICO Y CALLE 
PINO S",COL. GRANJAS,31160,CHIHUAHUA,CHIHUAHUA,08019090002,12/09/2001,PSICOTRÓPICOS
FARMACIA CORDOVA,FARMACIA,"GRAL. CARRERA TORRES Nº 
7849",COL. REVOLUCION MEXICANA,32670,JUÁREZ,CHIHUAHUA,08037090010,12/09/2001,PSICOTRÓPICOS
FARMACIA FARMATEC,FARMACIA,AV. INDEPENDENCIA N° 202,CENTRO,32881,OJINAGA,CHIHUAHUA,08052090001,12/09/2001,PSICOTRÓPICOS
"FARMACIA FARMACEUTICA CLINICA Y DE HOSPITALES, S. A. 
DE C. V",FARMACIA,"DR. PEDRO LEAL RODRIGUEZ 
Nº 18",COL. SANTA RITA,31020,CHIHUAHUA,CHIHUAHUA,08019090003,12/09/2001,HEMODERIVADOS
FARMACIA BRASIL,FARMACIA,C. 20 DE NOV. Nº 1069,COL. BARREAL,32040,JUÁREZ,CHIHUAHUA,08037090011,12/09/2001,PSICOTRÓPICOS
"FARMACIA DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,"AV. CARLOS PACHECO Nº 
3602-B",BARRIO DE LONDRES,31060,CHIHUAHUA,CHIHUAHUA,08019090004,12/09/2001,PSICOTRÓPICOS
FARMACIA INTRAHOSP. DEL HOSPITAL REGIONAL CAMARGO,FARMACIA,"AV. PABLO GINTHER Y 
DOBLADO S/",COL. ARBOL GRANDE,33739,CAMARGO,CHIHUAHUA,08011090001,12/09/2001,SUEROS DE ORIGEN ANIMAL
FARMACIA LEONEL,FARMACIA,"C. AYUNTAMIENTO Nº 2248 
SUR",COL. INDUSTRIAL,32270,JUÁREZ,CHIHUAHUA,08037090012,12/09/2001,TOXOIDES
FARMACIA TANNY,FARMACIA,SIMONA BARBA Nº 5120,FRACC. SAN ANGEL,32380,JUÁREZ,CHIHUAHUA,08037090013,12/09/2001,TOXOIDES
"FARMACIA DROGUERIA BENAVIDES, S. A. DE C. V.",FARMACIA,CALLE OJINAGA Nº 816,COL. CENTRO,31000,CHIHUAHUA,CHIHUAHUA,08019090005,12/09/2001,PSICOTRÓPICOS
