PROPIETARIO,ESTABLECIMIENTO,GIRO,CALLE,COLONIA,"CODIGO 
POSTAL",MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,"FECHA 
EXPEDICION","LINEAS DE 
COMERCIALIZ
ACION","Vigencia de la Autorización Sanitaria 
(Indeterminada ó Número de años de vigencia)","ESTATUS    
(VIGENTE,  
BAJA,",FECHA DE CAMBIO,MOTIVO
INSTITUTO MEXICANO DEL SEGURO SOCIAL,FARMACIA DE LA UNIDAD DE MEDICINA FAMILIAR No. 70,FARMACIA,PROLONGACION PRESIDENTE CARDENAS No. 70,ZONA CENTRO,25000,SALTILLO,COAHUILA,05-020-FB-08-2017,08/03/2018,"I, II, III",INDETERMINADA,VIGENTE,,
"CRUZ ROJA MEXICANA, I.A.P.","CRUZ ROJA MEXICANA, I.A.P.",FARMACIA,BOULEVARD CARLOS ABEDROP No. 2225,FRACCIONAMIENTO LAS MARAVILLAS,25022,SALTILLO,COAHUILA,500300901015,08/03/2018,"I, II, III",INDETERMINADA,VIGENTE,,
"TIENDAS SORIANA, S.A. DE C.V.","TIENDAS SORIANA, S.A. DE C.V.",FARMACIA,BLVD. VENUSTIANO CARRANZA No. 4826,DOCTORES,25250,SALTILLO,COAHUILA,50030090018,05/03/2018,"II, III",INDETERMINADA,VIGENTE,05/03/2018,CAMBIA RAZON SOCIAL
"TIENDAS SORIANA, S.A. DE C.V.","TIENDAS SORIANA, S.A. DE C.V.",FARMACIA,PERIFERICO LUIS ECHEVERRIA ALVAREZ No. 6301,SAN RAMON,25000,SALTILLO,COAHUILA,50035090465,05/03/2018,"II, III",INDETERMINADA,VIGENTE,05/03/2018,CAMBIA RAZON SOCIAL
"ANDALUCIA CLINICA DE ESPECIALIDADES, S.A DE C.V.",FARMACIA ANDALUCIA,FARMACIA,AVENIDA MATAMOROS ORIENTE No. 542,CENTRO,27000,TORREON,COAHUILA,500350901125,05/04/2018,"I, II, III",INDETERMINADA,VIGENTE,,
"CESARETTI PHARMA, S.A. DE C.V.",PROPIEL,FARMACIA,CARRETERA TORREON-SAN PEDRO No. 505 INT. 208,FRACCIONAMIENTO SANTA BARBARA,27105,TORREON,COAHUILA,500350901126,05/04/2018,"II, III",INDETERMINADA,VIGENTE,,
RICARDO LOPEZ NEGRETE DELGADO,PRO PIEL,FARMACIA,BOULEVARD INDEPENDENCIA No. 3788  LOCAL 6,FRACCIONAMIENTO EL FRESNO,27018,TORREON,COAHUILA,500350901127,06/04/2018,"II, III",INDETERMINADA,VIGENTE,,
"KLYS FARMACIAS, S.A. DE C.V.",KLYNS EL FRESNO,FARMACIA,BOULEVARD INDEPENDENCIA ORIENTE No. 3696,EL FRESNO,27018,TORREON,COAHUILA,500350901128,05/04/2018,"II, III",INDETERMINADA,VIGENTE,,
BENEFICIENCIA ESPAÑOLA DE LA LAGUNA,BENEFICIENCIA ESPAÑOLA DE LA LAGUNA ZONA NORTE,FARMACIA,CALZADA SAN IGNACIO DE LOYOLA No. 325,EJIDO LA UNIÓN,27420,TORREON,COAHUILA,500350901129,06/04/2018,"II, III",INDETERMINADA,VIGENTE,,
INSTITUTO MEXICANO DEL SEGURO SOCIAL,HOSPITAL GENERAL DE ZONA CON MEDICINA FAMILIAR No. 2,FARMACIA,BOULEVARD VENUSTIANO CARRANZA No. 3458,EL KIOSKO,25240,SALTILLO,COAHUILA,500300901130,10/04/2018,"I, II, III",INDETERMINADA,VIGENTE,,
"CONSORCIO HOSPITALARIO GREEN CARE, S.C.","CONSORCIO HOSPITALARIO GREEN CARE, S.C.",FARMACIA,AVENIDA ALLENDE ORIENTE No. 139 INT. 2,CENTRO,27000,TORREON,COAHUILA,500350901131,06/04/2018,"II, III",INDETERMINADA,VIGENTE,,
ENDOBARIATRIC S.C.,ENDOBARIATRIC S.C.,FARMACIA,ABASOLO Y ANAHUAC No. 629,CENTRO,26000,PIEDRAS NEGRAS,COAHUILA,500250901132,06/04/2018,"II, III",INDETERMINADA,VIGENTE,,
IMPULSORA DE CADENAS PRODUCTIVAS Y COMERCIALE,"SI,M S.P DUEL SRO.LR. A DE CADENAS PRODUCTIVAS Y COMERCIALES, S. DE R.L.",FARMACIA,CALZADA FRANCISCO I MADERO No. 1286,ZONA CENTRO,25000,SALTILLO,COAHUILA,50030090885,06/04/2018,"I, II, III",INDETERMINADA,VIGENTE,06/04/2018,AGREGAN GRUPO I
"HISA FARMACEUTICA, S.A. DE C.V.","HISA FARMACEUTICA, S.A. DE C.V.",FARMACIA,BLVD. RAYMUNSO DE LA CRUZ S/N,CENTRO METROPOLITANO,25020,SALTILLO,COAHUILA,500330901133,02/05/2018,"I, II, III",INDETERMINADA,VIGENTE,,
"PROVEEDORA FARMACEUTICA RAMIREZ, S.A. DE C.V.","PROVEEDORA FARMACEUTICA RAMIREZ, S.A. DE C.V.",FARMACIA,ABASOLO No. 525,CENTRO,25000,SALTILLO,COAHUILA,500300901134,02/05/2018,"II, III",INDETERMINADA,VIGENTE,,
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS, S.A.P",.FI.A DREM CA.VC.IA DEL AHORRO GOMEZ MORIN,FARMACIA,CALZADA MANUEL GOMEZ MORIN No. 681,VILLAS RESIDENCIALES,27266,TORREON,COAHUILA,500350901135,03/05/2018,"II, III",INDETERMINADA,VIGENTE,,
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS, S.A.P",.FI.A DREM CA.VC.IA DEL AHORRO XOCHIMILCO,FARMACIA,AVENIDA XOCHIMILCO No. 43,VILLAS CALIFORNIA,27085,TORREON,COAHUILA,500350901136,03/05/2018,"II, III",INDETERMINADA,VIGENTE,,
"FARMACIAS LUMA, S.A. DE C.V.","FARMACIAS LUMA, S.A. DE C.V.",FARMACIA,PRESIDENTE CARRANZA OTE. 909 INT. 3,CENTRO,27000,TORREON,COAHUILA,500350901137,03/05/2018,"II, III",INDETERMINADA,VIGENTE,,
"KLYS FARMACIAS, S.A. DE C.V.",MEDEXX LA JOYA,FARMACIA,PROLONGACION PRESIDENTE CARDENAS No. 703,LA AMISTAD,27087,TORREON,COAHUILA,500350901138,24/05/2018,"II, III",INDETERMINADA,VIGENTE,,
"FARMACIA GUADALAJARA, S.A. DE C.V.","FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,BLVD. EMILIO ARIZPE DE LA MAZA No. 377,AMP. LA ESTRELLA,25090,SALTILLO,COAHUILA,500300901139,31/05/2018,"II, III",INDETERMINADA,VIGENTE,,
"HOSPITAL LA ROSITA, S.A. DE C.V.","HOSPITAL LA ROSITA, S.A. DE C.V.",FARMACIA,AV. UNIVERSIDAD No. 624,INSURGENTES,25260,SALTILLO,COAHUILA,500300901140,31/05/2018,"II, III",INDETERMINADA,VIGENTE,,
CLINICA DE ESPECIALIDADES SANTA ELENA SOCIEDAD CI,VCILLINICA DE ESPECIALIDADES SANTA ELENA,FARMACIA,BOULEVARD GALERIAS No. 239,VILLA OLIMPICA,25230,SALTILLO,COAHUILA,500300901141,31/05/2018,"I, II, III",INDETERMINADA,VIGENTE,,
"FARMACIA GUADALAJARA, S.A. DE C.V.","FARMACIA GUADALAJARA, S.A. DE C.V.",FARMACIA,AVENIDA PROLONGACION JUARES ORIENTE No. 7590 INT. 2,LA JOYA,27400,SALTILLO,COAHUILA,500300901142,31/05/2018,"II, III",INDETERMINADA,VIGENTE,,
"COMERCIALIZADORA FARMACEUTICA DE CHIAPAS, S.A.P",.FI.A DREM CA.VC.IA DEL AHORRO PARISINA MATAMOROS,FARMACIA,AVENIDA CUAUHTEMOC No. 33 ORIENTE,CENTRO,27440,MATAMOROS,COAHUILA,500170901143,11/06/2018,"II, III",INDETERMINADA,VIGENTE,,
IMPULSORA DE CADENAS PRODUCTIVAS Y COMERCIALE,"SI,M S.P DUEL SRO.LR. A DE CADENAS PRODUCTIVAS Y COMERCIALES, S. DE R.L.",FARMACIA,MANUEL PEREZ TREVIÑO No. 531 INT.  8,ZONA CENTRO,25000,SALTILLO,COAHUILA,500300901144,11/06/2018,"I, II, III",INDETERMINADA,VIGENTE,,
MARIO ALBERTO VAZQUEZ GONZALEZ,DR. MARIO VAZQUEZ,FARMACIA,AVENIDA MORELOS No. 700 ORIENTE MODULO 3,SEGUNDO DE COBIAN CENTRO,,TORREON,COAHUILA,500350901145,19/06/2018,VACUNAS,INDETERMINADA,VIGENTE,,
