CP,farmacias
20000.0,26
20180.0,23
20010.0,16
20059.0,14
20270.0,9
20020.0,8
20078.0,7
20130.0,7
20190.0,7
20060.0,7
20170.0,6
20280.0,6
2200007700.0,6
20287.0,5
20900.0,5
20230.0,5
20120.0,5
20240.0,5
20050.0,4
20261.0,4
20169.0,4
20197.0,4
20070.0,4
20030.0,4
20179.0,4
20206.0,3
20126.0,3
20330.0,3
20343.0,3
20340.0,3
20344.0,3
20320.0,3
20909.0,3
20300.0,2
20323.0,2
20346.0,2
20980.0,2
20326.0,2
20332.0,2
20339.0,2
20970.0,2
20290.0,2
20110.0,2
20234.0,2
2200223355.0,2
20199.0,2
20127.0,2
20367.0,2
20080.0,2
20133.0,2
20277.0,2
20260.0,2
20640.0,2
20235.0,1
20266.0,1
20200.0,1
20029.0,1
20174.0,1
20119.0,1
20129.0,1
2200000000.0,1
20298.0,1
20196.0,1
20310.0,1
20116.0,1
20299.0,1
20925.0,1
20286.0,1
20100.0,1
20289.0,1
20040.0,1
20237.0,1
2200008800.0,1
20115.0,1
20250.0,1
20137.0,1
20205.0,1
20303.0,1
20285.0,1
20408.0,1
20400.0,1
20660.0,1
20600.0,1
20720.0,1
20460.0,1
20470.0,1
20665.0,1
20500.0,1
20540.0,1
20410.0,1
2200771122.0,1
20712.0,1
20722.0,1
20790.0,1
20794.0,1
20795.0,1
20700.0,1
20730.0,1
20742.0,1
20630.0,1
20677.0,1
29472.0,1
20437.0,1
20424.0,1
20800.0,1
20860.0,1
20830.0,1
20809.0,1
20807.0,1
20834.0,1
20805.0,1
20839.0,1
20961.0,1
2200880000.0,1
20263.0,1
20239.0,1
20198.0,1
20278.0,1
20673.0,1
20249.0,1
202108.0,1
21350.0,38
21280.0,20
21270.0,16
21850.0,13
21100.0,12
21399.0,8
21190.0,8
21370.0,7
21000.0,7
21397.0,6
21360.0,6
21970.0,6
21290.0,5
21160.0,5
21254.0,5
21180.0,5
21030.0,4
21050.0,4
21330.0,4
21240.0,4
21395.0,4
21137.0,4
21040.0,4
21120.0,3
21010.0,3
21735.0,3
21110.0,3
21070.0,3
21020.0,3
21620.0,3
21966.0,3
21130.0,3
21600.0,3
21376.0,3
21.0,3
2121130.0,2
21379.0,2
21900.0,2
21960.0,2
21259.0,2
21139.0,2
21200.0,2
21354.0,2
21230.0,2
21250.0,2
21185.0,2
21140.0,2
21705.0,2
21720.0,2
21374.0,2
21170.0,2
21800.0,2
21394.0,2
21219.0,2
21197.0,2
21210.0,2
21260.0,1
21327.0,1
22320.0,1
22010.0,1
22000.0,1
22800.0,1
22226.0,1
92010.0,1
22245.0,1
22115.0,1
22246.0,1
22654.0,1
22216.0,1
22500.0,1
22660.0,1
22640.0,1
22106.0,1
