ESTABLECIMIENTO,GIRO,CALLE,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION 
AUTORIZADAS (ESTUPEFACIENTES 
GRUPO I), (PSICOTRÓPICOS GRUPOS  
II, III), VACUNAS, TOXOIDES, SUEROS 
DE ORIGEN ANIMAL, ANTITOXINAS DE 
ORIGEN ANIMAL, HEMODERIVADOS, 
(I,II,III,V,T,S,A,H) METADONA, 
OXYCONTIN)"
"""HOSPITAL COMUNITARIO 
TARIMORO""",BOTICA,REFORMA No. 68 PTE.,E. ZAPATA,38700,TARIMORO,GUANAJUATO,1109310002,22-may-08,"I, II y III, VACUNAS, TOXOIDES Y 
SUEROS"
"""HOSPITAL COMUNITARIO 
DEL BICENTENARIO 
ABASOLO""",FARMACIA,"BLVD. CUITZEO DE LOS 
NARANJOS No. 103",PEÑA DE GUIZA,36970,ABASOLO,GUANAJUATO,11001090001,10-oct-12,"I, II y III, VACUNAS,  TOXOIDES,  
SUEROS, ANTITOXINAS Y 
HEMODERIVADOS"
MORELOS NO. 1099,FARMACIA,MORELOS NO. 1099,CENTRO,38600,ACAMBARO,GUANAJUATO,11002090010,13-mar-02,"I,II,III, 
VACUNAS,TOXOIDES,SUEROS,ANTITOX
INAS Y HEMODERIVADOS"
ISSEG NO. 90,FARMACIA,1° DE MAYO No. 1239,CENTRO,38600,ACAMBARO,GUANAJUATO,11002090053,11-sep-17,"PSICOTROPICOS FRACCION II Y III, 
VACUNAS,TOXOIDES Y SUEROS DE 
ORIGEN ANIMAL"
"ANEXA AL CENTRO 
ESTATAL DE 
READAPTACION SOCIAL 
DE ACAMBARO,GTO.",BOTICA,"CARRETERA ACAMBARO-
JERECUARO KM. 11.5",ACAMBARO,38600,ACAMBARO,GUANAJUATO,11002100003,05-oct-12,"I,II,III,TOXOIDES Y HEMODERIVADOS"
GUADALAJARA,FARMACIA,CARRETERA A CELAYA No. 3,CENTRO,37700,SAN MIGUEL ALLENDE,GUANAJUATO,11003090001,12-nov-12,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"HOSPITAL GENERAL 
FELIPE G. DOBARGANES""",FARMACIA,AV. 1° DE MAYO No. 7,IGNACIO RAMÍREZ,37645,"SAN MIGUEL DE 
ALLENDE",GUANAJUATO,11003090001,01-nov-13,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""DEL AHORRO SUC. 
CANAL""",FARMACIA,CANAL No. 9-1,CENTRO,37700,SAN MIGUEL ALLENDE,GUANAJUATO,11003090026,22-may-12,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
HEMODERIVADOS"
"BOTICA DIMESA ANEXA A 
HOSPITAL COMUNITARIO",BOTICA,"LIC. AGUSTÍN TÉLLEZ CRUCES 
No. 102",GOBERNADORES,38500,APASEO EL ALTO,GUANAJUATO,11004100002,06-nov-13,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""BOTICA DIMESA ANEXA A 
CAISES""",BOTICA,5 DE MAYO No. 504,CENTRO,38500,APASEO EL ALTO,GUANAJUATO,11004100001,06-nov-13,"I, II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""DE DIOS""",FARMACIA,IGNACIO ALLENDE No. 8,SAN PEDRO TENANGO,38190,APASEO EL GRANDE,GUANAJUATO,11005009003,03-abr-01,"II y III, VACUNAS, TOXOIDES Y SUEROS"
"""DEL ROSARIO""",FARMACIA,MANUEL DOBLADO No.106,CENTRO,38360,APASEO EL GRANDE,GUANAJUATO,11005090001,12-ago-13,"II y III, TOXOIDES Y SUEROS"
"""UNAVOT""",FARMACIA,GUANAJUATO No. 704,ALAMEDA,38050,CELAYA,GUANAJUATO,11007090007,17-jul-14,"I, II y III"
GUADALAJARA,FARMACIA,MUTUALISMO No. 417,RESIDENCIAL,38060,CELAYA,GUANAJUATO,11007090002,27-jun-13,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
"""ROMA""",FARMACIA,SOSTENES ROCHA No. 158,"BARRIO DE LA 
RESURRECCION",38000,CELAYA,GUANAJUATO,11007090003,28-nov-00,"II y III, VACUNAS, TOXOIDES, SUEROS, 
ANTITOXINAS Y HEMODERIVADOS"
"""DEL PUEBLO""",FARMACIA,"JOSÉ MARÍA MORELOS Y 
PAVÓN  No. 163-A",CENTRO,38000,CELAYA,GUANAJUATO,11007090003,29-jul-13,"II y III, VACUNAS, TOXOIDES Y 
ANTITOXINAS"
"""LA CLEMENCIA""",FARMACIA,FRANCISCO VILLA No. 107,RINCON DE TAMAYO,38150,CELAYA,GUANAJUATO,11007090004,20-ago-13,"II y III,"
"""FARMACIAS DEL AHORRO 
SUCURSAL EJE 
CLOUTHIER""",FARMACIA,"EJE NORPONIENTE MANUEL J. 
CLOUTHIER No. 401",LA CAPILLA,38020,CELAYA,GUANAJUATO,11007090005,24-ago-12,"PSICOTRÓPICOS, VACUNAS, 
TOXOIDES, SUEROS, ANTITOXINAS Y 
HEMODERIVADOS"
FARMACIA GUADALAJARA,FARMACIA,"AV. TECNOLÓGICO No. 647 
LOCAL 48",CD. INDUSTRIAL,38010,CELAYA,GUANAJUATO,11007090008,16-oct-12,"II y III, VACUNAS, TOXOIDES, SUEROS Y 
ANTITOXINAS"
