ESTABLECIMIENTO,GIRO,CALLE Y NO.,COLONIA,"CODIGO 
POSTAL","MUNICIPIO O 
DELEGACION",ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION 
AUTORIZADAS 
(ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, 
TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN 
ANIMAL, HEMODERIVADOS)"
Torre Médica,Farmacia,Av. Guadalupe Victoria # 9,Centro,58290,Alvaro Obregón,Michoacán,16 003 09 0001,30/05/2003,"Ps., T., S., H"
Tzitziqui,Farmacia,Benito Juarez # 64,Centro,58920,Alvaro Obregón,Michoacán,16 003 09 0002,11/07/2003,"Ps., V., T., S."
Farmacia Torre Medica,Farmacia,Portal Hidalgo # 4 - B,Centro,58920,Alvaro Obregón,Michoacán,16 003 09 0003,25/04/2007,"Ps., V., S., A., H"
Súper Farmacia San Vicente,Farmacia,Guadalupe Victoria # 9 - A,Centro,58920,Alvaro Obregón,Michoacán,16 003 09 0004,24/03/2008,"Ps., V., S., A., H"
San Charbel,Farmacia,Portal Hidalgo # 105,Centro,58920,Alvaro Obregón,Michoacán,16 003 09 0005,08/03/2011,"Ps., V., T., S."
Hidalgo,Farmacia,Miguel Hidalgo # 275,Centro,58790,Copándaro,Michoacán,16 018 09 0001,13/12/2005,"Ps., V., T"
Del Carmen,Farmacia,Av. Lazaro Cardenas # 13,Centro,98840,Cuitzeo,Michoacán,16 020 09 0171,13/02/2003,"Ps., V., T."
Cheli,Farmacia,Av. Morelos Norte # 7,Centro,58840,Cuitzeo,Michoacán,16 020 09 0001,09/08/2000,"Ps., V., T."
Doramitzi,Farmacia,Av.  Morelos Norte # 23,Centro,58840,Cuitzeo,Michoacán,16 020 09 0002,20/10/2008,"Ps., V., T."
Botica Unidad Medicina Familiar # 42,Botica,"Carret. Morelia-Salamanca Km. 32.5, S/C",Cuitzeo,58840,Cuitzeo,Michoacán,16 020 10 0003,30/03/2005,"Ps., V., T."
Andrade II,Farmacia,Valentin Gomez Farias # 2,Centro,58840,Cuitzeo,Michoacán,16 020 09 0004,14/12/2006,"E., Ps., V., T., S., A., H."
I.S.S.E.G. No. 117,Farmacia,Valentin Gomez Farias # 1,Centro,58840,Cuitzeo,Michoacán,16 020 09 0005,01/10/2008,"Ps., V., T., S., H."
Sr. De La Expiración,Farmacia,Morelos Norte # 23,Centro,58840,Cuitzeo,Michoacán,16 020 09 0006,18/03/2009,"Ps., V., T., S., A."
Clínica Charo,Farmacia,Guerrero # 136,"San Pedro y San 
Pablo",58130,Charo,Michoacán,16 022 09 0001,25/06/2003,Ps.
Andrea,Farmacia,Rayón # 300,S/Colonia,61300,Charo,Michoacán,16 022 09 0002,22/04/2005,"Ps., T., S., A."
Guadalupana,Farmacia,Emiliano Zapata # 131,Centro,61300,Charo,Michoacán,16 022 09 0003,15/12/2006,Ps.
Bucio,Farmacia,Epitacio Huerta # 596,Centro,58560,Chucándiro,Michoacán,16 027 09 0001,10/12/2003,Ps.
Farmacia Del Sol,Farmacia,Epitacio Huerta # 405,Centro,58860,Chucándiro,Michoacán,16 027 09 0002,18/12/2006,"Ps., V., T., S., A."
Cristo Rey 2000,Farmacia,8 De Enero # 5,Centro,58821,Huandacareo,Michoacán,16 036 09 0174,16/12/2202,"Ps.,T., S."
San Juan,Farmacia,Melchor Ocampo # 2 - B,Centro,58820,Huandacareo,Michoacán,16 036 09 0007,20/07/2012,"Ps., V., T., S., A."
Señor Del Amparo,Farmacia,Francisco I. Madero # 67 Interior 1,Centro,58821,Huandacareo,Michoacán,16 036 09 0001,16/07/2001,"Ps., V., T."
Del Centro,Farmacia,"Melchor Ocampo # 7 - A,",Centro,58820,Huandacareo,Michoacán,16 036 09 0002,13/12/2001,Ps.
Eddy,Farmacia,Morelos Sur # 10,Centro,58820,Huandacareo,Michoacán,16 036 09 0003,26/09/2002,"Ps., T."
Farmacia Señor Del Amparo,Farmacia,Francisco I. Madero # 67 Interior 1,Centro,58821,Huandacareo,Michoacán,16 036 09 0005,17/03/2006,"E., Ps."
Farmacia San Jerónimo,Farmacia,8 De Enero # 6 - A,Centro,58820,Huandacareo,Michoacán,16 036 09 0006,08/09/2006,"Ps., T., S."
De La Salud,Botica,3ro De Bravo # 11 - A,Centro,58907,Indaparapeo,Michoacán,16 040 10 0167,17/12/2002,"Ps., T."
Nueva Farmacia San Juan Diego,Farmacia,Juarez # 12 - A,Centro,58970,Indaparapeo,Michoacán,16 040 09 0001,15/12/2006,"E., Ps."
