ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
FARMACIA UNEME E.C.,FARMACIA,AV. UNIVERSIDAD S/N,STO. DOMINGO TEHUANTEPEC,70760,STO. DOMINGO TEHUANTEPEC,OAXACA,2068010795,09-ene.-12,CON VENTA DE PSICOTROPICOS GRUPOS II Y III
FARMACIA BODEGA AURRERA NARANJOS,FARMACIA,NARANJOS No. 1010,REFORMA,68050,"OAXACA  DE JUAREZ, OAX.",OAXACA,2068010797,28-feb.-12,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA CHEDRAUI,FARMACIA,H. ESCUELA NAVAL MILITAR 917,REFORMA,68050,"OAXACA  DE JUAREZ, OAX.",OAXACA,2068010798,28-feb.-12,"CON VENTA DE PSICOTROPICOS GRUPO II Y III,"
FARMACIAS DEL AHORRO,FARMACIA,DOLORES No. 98,CENTRO,68000,"OAXACA  DE JUAREZ, OAX.",OAXACA,2068010800,23-mar.-12,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIAS GUELAGUETZA,FARMACIA,COLON No. 400,CENTRO,68000,"OAXACA  DE JUAREZ, OAX.",OAXACA,2068010801,30-mar.-12,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIA EUCALIPTOS,FARMACIA,EUCALIPTOS No. 401,REFORMA,68050,"OAXACA  DE JUAREZ, OAX.",OAXACA,2068010802,02-abr.-12,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III"
"TIENDAS SORIANA S.A. DE C.V. (FARMACIA MERCADO SORIANA 
SUC. JUCHITAN)",FARMACIA,"CARRETERA PANAMERICANA KM. 
819.5",PRIMERA SECCION,70000,JUCHITAN DE ZARAGOZA,OAXACA,2068010805,18-jun.-12,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXIODES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS DEL AHORRO,FARMACIA,"CARRETERA TRANSISTMICA KM 
2.5",INDEPENDENCIA,70600,SALINA CRUZ,OAXACA,2068010806,18-jun.-12,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMAPRONTO,FARMACIA,HOMBRES ILUSTRES No. 204,CENTRO,70300,MATIAS ROMERO,OAXACA,2068010807,26-jun.-12,CON VENTA DE PSICOTROPICOS GRUPO II Y III
FARMACIA MI BODEGA AURRERA VILLA DE ETLA,FARMACIA,AV. CENTENARIO No. 100,CENTRO,68200,VILLA DE ETLA,OAXACA,2068010809,06-sep.-12,CON VENTA DE PSICOTROPICOS GRUO II Y III
PROMACU Y ESPECIALIDADES PARA HOSPITAL S.A. DE C.V.,FARMACIA,"HONDURAS No. 216,",AMERICA NORTE,68050,OAXACA DE JUAREZ,OAXACA,2068010468,07-nov.-12,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III"
SANTA FE,FARMACIA,AV. JUAREZ No. 60,BARRIO SAN ANTONIO,71200,ZIMATLAN DE ALVAREZ,OAXACA,2068010271,11-ene.-12,CON VENTA DE PSICOTROPICOS GRUPO II Y III
"ORGANIZATE MONSE S.A. DE C.V. ""FARMAPRONTO""",FARMACIA,MORELOS S/N,ESTACION,70110,IXTEPEC,OAXACA,2068010778,05-mar.-12,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXONAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIAS OAXAQUEÑAS DE MAS AHORRO,FARMACIA,"ANDADOR DE MERCADERES No. 
6",CENTRO,68000,OAXACA DE JUAREZ,OAXACA,2068010682,05-jun.-12,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
"FARMACIAS DEL HOSPITAL REGIONAL ""PRESIDENTE JUAREZ""",FARMACIA,DR. GERARDO VARELA No. 617,FALDAS DEL CERRO DEL CRESTON,68040,OAXACA DE JUAREZ,OAXACA,2068010789,05-jul.-12,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIAS OAXAQUEÑAS DE MAS AHORRO,FARMACIA,"CARLOS MARIA BUSTAMANTE 
No.409-A",CENTRO,68000,OAXACA DE JUAREZ,OAXACA,2068010619,05-jul.-12,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIA DEL HOSPITAL GENERAL DE PUERTO ESCONDIDO,FARMACIA,AV. RAUL GONZALEZ S/N,JARDINES,71985,"PUERTO ESCONDIDO,  SAN 
PEDRO MIXTEPEC",OAXACA,2068010767,26-jul.-12,"CON VENTA DE ESTUPEFACIENTS GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
2013,,,,,,,,,
FARMACIA BODEGA AURRERA SAN SEBASTIAN TUTLA,FARMACIA,"AV. CIRCUITO UNO NORTE, MA 1 
NO. 98",FRACC. EL ROSARIO,71246,SAN SEBASTIAN TUTLA,OAXACA,2068010816,04-mar.-13,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
FARMACIA MI BODEGA AURRERA PINOTEPA NACIONAL,FARMACIA,AV. JUAREZ S/N,CENTRO,71606,SANTIAGO PINOTEPA NACIONAL,OAXACA,2068010817,04-mar.-13,"CON VENTA DE PSICOTROPICOS GRUPO II Y III, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS DE ORIGEN ANIMAL Y HEMODERIVADOS"
"FARMACIA ""BARRIGA""",FARMACIA,"BOULEARD HOSPITAL DEL NIÑO 
No. 110-A,",PARAJE EL TULE,71256,SAN BARTOLO COYOTEPEC,OAXACA,2068010818,30-abr.-13,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIA MANOS DE ESPERANZA A.C.,FARMACIA,"PENSAMIENTOS No. 201,",REFORMA,68050,"OAXACA DE JUAREZ, OAX.",OAXACA,2068010819,30-abr.-13,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTOPICOS GRUPO II 
Y III, VAC UNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
FARMACIA CMEC,FARMACIA,"CALLE TERCERA NORTE SIN 
NUMERO",LA POSTA,71605,SANTIAGO PINOTEPA NACIONAL,OAXACA,2068010823,30-abr.-13,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUO II 
Y III"
FARMACIA CARBALLIDO,FARMACIA,"BENITO JUAREZ 54 ""B""",BARRIO BAJO,68213,"SAN FRANCISCO 
TELIXTLAHUACA",OAXACA,2068010824,30-may.-13,CON VENTA DE PSICOTROPICOS GRUPO II Y III
FARMACIA SAN JORGE,FARMACIA,"PLAZA DE LA CONSTITUCION 1 
LOCAL 3,",CENTRO,69800,HEROICA CIUDAD DE TLAXIACO,OAXACA,2068010825,30-may.-13,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III"
"FARMACIA DEL HOSPITAL COMUNITRIO DE TEOTITLAN DE FLORES 
MAGON",FARMACIA,COLON ESQ. 5 DE MAYO,BARRIO GUADALUPE,68540,TEOTITLAN DE FLORES MAGON,OAXACA,2068010827,21-jun.-13,"CON VENTA DE ESTUPEFACIENTES GRUPO I, PSICOTROPICOS GRUPO II 
Y III, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS DE ORIGEN ANIMAL 
Y HEMODERIVADOS"
