ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN 
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
CLINICA DERMATOLOGICA,FARMACIA,20 SUR # 2539,BELLA VISTA,72500,Puebla,PUEBLA,1601140001,13/03/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ANEXA AL HOSPITAL GENERAL DE TLATLAUQUI,FARMACIA,AV. REFORMA # 161,CENTRO,73900,Tlatlauquitepec,PUEBLA,1031860003,23/05/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL GENERAL REGIONAL # 36,FARMACIA,10 PONIENTE # 2721,SAN ALEJANDRO,72090,Puebla,PUEBLA,1061140006,09/08/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL DE TRAUMATOLOGIA Y ORTOPEDIA,FARMACIA,"DIAGONAL DEF. DE LA 
REPUBLICA Y 6 PONIENTE",AMOR,72140,Puebla,PUEBLA,1061140007,16/03/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
INSTITUTO MEXICANO DEL SEGURO SOCIAL,FARMACIA,CALLE 20 DE NOVIEMBRE S/N,BARRIO DE XILOTEPEC,75160,San Salvador el Seco,PUEBLA,1041430008,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL GENERAL DE ZACATLAN,FARMACIA,AV. LIC. LUIS CABRERA # 5,CENTRO,73310,Zacatlán,PUEBLA,1022080011,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL HOSPITAL MILITAR REGIONAL,FARMACIA,AVENIDA LA CALERA Nº 49,HEROES DE PUEBLA,72380,Puebla,PUEBLA,1061140012,29/03/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DEL HOSPITAL GENERAL DE LIBRES,FARMACIA,5 DE MAYO # 880,CENTRO,73780,Libres,PUEBLA,1040960014,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL GENERAL DE HUAUCHINANGO,FARMACIA,NIGROMANTE # 33,LA CUMBRE,73160,Huauchinango,PUEBLA,1010730015,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
HOSPITAL GENERAL DE TEZIUTLAN,FARMACIA,"BOULEVARD Y RAFAEL AVILA 
CAMACHO S/N",EL CARMEN,73800,Teziutlán,PUEBLA,1031740016,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
I.M.S.S. U.M.F. # 27,FARMACIA,"CARRET. TEHUACAN-OAXACA 
KM. # 25",,75700,Ajalpan,PUEBLA,1100100020,14/07/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
DUBARRY,FARMACIA,5 ORIENTE # 201,CENTRO,75480,Tecamachalco,PUEBLA,1091540024,10/10/1993,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
BETTY,FARMACIA,6 NORTE Y 4 PONIENTE,ZARAGOZA,75775,Tehuacán,PUEBLA,1101560025,29/06/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
SAN CARLOS,FARMACIA,ALLENDE # 506-A,CENTRO,73800,Teziutlán,PUEBLA,1031740026,30/06/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
24 HORAS,FARMACIA,"CARRETERA INTERNACIONAL 
# 45",LA PALMA,74940,Acatlán,PUEBLA,1080030027,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
LA FE,FARMACIA,3 NORTE # 1401 - D,CENTRO,72000,Puebla,PUEBLA,1061140029,,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
ANTON,FARMACIA,20 DE NOVIEMBRE # 5311,SAN BALTAZAR,72500,Puebla,PUEBLA,1061140030,08/05/1994,"GRUPO II Y III, VACUNAS, TOXOIDES Y HEMODERIVADOS"
