ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES),
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN
ANIMAL, ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
"COMPRA VENTA DE VACUNAS ""VAQNA""",FARMACIA,"CHACMULTUM No. 39, M. 16, L. 13,
SM. 56, RESIDENCIAL SOL DEL
MAYAB",RESIDENCIAL SOL DE MAYAB,77533,B.J,QUINTANA ROO,LIC 2016-23-05-001,07/01/2016,VACUNAS
FARMACIA LOS ANGELES,FARMACIA,"AV. CANCUN CERRADA PORTO REAL
M. 1, L. 7, CASA 47 B, REG. 501,
FRACC. PORTO ALEGRE",REG. 501,77533,B.J,QUINTANA ROO,LIC 2016-23-05-002,02/02/2016,"PSICOTROPICOS II, III"
FARMACIAS DEL AHORRO SUC. CABO CATOCHE,FARMACIA,"AV. BONAMPAK M. 3, LOC. 1, L. 4, SM.
9",SM. 9,77503,B.J,QUINTANA ROO,LIC 2016-23-05-003,02/02/2016,"PSICOTROPICOS II, III"
FARMACIA DISTRIBUIDORA MEDICA DEL CARIBE,FARMACIA,"AV. TULUM M. 4, 5 Y 9 No. 260, SM. 7",SUPERMANZANA  7,77503,B.J,QUINTANA ROO,LIC 2016-23-05-004,02/02/2016,"PSICOTROPICOS II, III"
"FARMACIA CENTRO DE REHABILITACION E
INCLUSION INFANTIL TELETON QUINTANA ROO",FARMACIA,"BLVD. LUIS DONALDO COLOSIO No.
999, M. 5, L. 1-11, SM. 296",SM. 296,,B.J,QUINTANA ROO,LIC 2016-23-05-005,02/02/2016,"PSICOTROPICOS II, III"
FARMACIA DEL AHORRO SUC. ROYAL,FARMACIA,"AV. GRAL. RAFAEL E. MELGAR KM.
3.5, LOC. 01, 04, 05, COL. CENTRO
COMERCIAL ROYAL VILLAGE",CENTRO,77600,COZ.,QUINTANA ROO,LIC 2016-23-01-006,15/02/2016,"PSICOTROPICOS II, III"
STAR PHARMACY,FARMACIA,"1ERA AV. ENTRE 5TA Y ZONA FED.
MARITINA, LOC. 16",,,SOL.,QUINTANA ROO,LIC 2016-23-08-007,15/02/2016,"PSICOTROPICOS II, III"
FARMACIA YZA KANLOL,FARMACIA,"AV. CHETUMAL SM. 260, M. 10 No. 30,
L. 3, COL. PRADO NORTE",PRADO NORTE,77519,B.J,QUINTANA ROO,LIC 2016-23-05-008,23/02/2016,"PSICOTROPICOS II, III"
FARMACIA YZA LIMONEROS,FARMACIA,"PASEO EL LIMONERO M. 84, SM. 248,
L. 06",SUPERMANZANA 248,77516,B.J,QUINTANA ROO,LIC 2016-23-05-009,23/02/2016,"PSICOTROPICOS II, III"
FARMACIA BAZAR SUC. ALEBRIJES,FARMACIA,"AV. KABAH M. 9, L. 03-02, LOC. 105,
REG. 221",REGION 221,77512,B.J,QUINTANA ROO,LIC 2016-23-05-010,23/02/2016,"PSICOTROPICOS II, III"
SANA MENTE MI FARMACIA,FARMACIA,"RET. 3 MI CHILAM BALAM M. 2, L. 82,
SM. 50, FRACC. VIRREYES",SUPERMANZANA 50,77533,B.J,QUINTANA ROO,LIC 2016-23-05-011,23/02/2016,"PSICOTROPICOS II, III"
COZUMEL INTERNACIONAL HOSPITAL,FARMACIA,"C. 5 SUR No. 21 B, COL. CENTRO",CENTRO,77600,COZ.,QUINTANA ROO,LIC 2016-23-01-012,01/03/2016,"PSICOTROPICOS II, III"
FARMACIAS DEL AHORRO SUC. COLOSIO,FARMACIA,"BLVD. LUIS DONALDO COLOSIO L. 12,
LOC. 1, SM. 311",,,B.J,QUINTANA ROO,LIC 2016-23-05-013,01/03/2016,"PSICOTROPICOS II, III"
FARMACIAS DEL AHORRO SUC. PUERTO CANCUN,FARMACIA,"AV. BONAMPAK SECCION C, M. 2, L. 8
Y 9, ZONA HOTELERA",ZONA HOTELERA,77500,B.J,QUINTANA ROO,LIC 2016-23-05-014,01/03/2016,"PSICOTROPICOS II, III"
FARMACIA YZA PLAYA CONSTITUYENTES,FARMACIA,"AV. CONSTITUYENTES M. 25, L. 5,
LOC. 1, COL. EJIDAL",EJIDAL,77712,SOL.,QUINTANA ROO,LIC 2016-23-08-015,13/05/2016,"PSICOTROPICOS II, III"
FARMACIA YZA PLAYA FEDERAL,FARMACIA,"L. 299, LOC. 3 Y 4",,,SOL.,QUINTANA ROO,LIC 2016-23-08-016,13/05/2016,"PSICOTROPICOS II, III"
DDEERRMMAATTOOLLOOGGIICCAA  FFAARRMMAACCIIAA,FFAARRMMAACCIIAA,"AAVV..  1100  NNTTEE..,,  MM..  88,,  LL..  55,,  LLOOCC..  BB,,  CCOOLL..
CCEENNTTRROO",CCEENNTTRROO,7777771100,SSOOLL..,QQUUIINNTTAANNAA  RROOOO,LLIICC  22001166--2233--0088--001177,1166//0055//22001166,"PPSSIICCOOTTRROOPPIICCOOSS  IIII,,  IIIIII"
FFAARRMMAACCIIAA  TTOOHHAA  WWOOHH,FFAARRMMAACCIIAA,"AAVV..  TTAANNKKAAHH  MM..  1166,,  LL..  1100,,  1122,,  1144,,  1166,,  1188,,
LLOOCC..  HH,,  SSMM..  2255",SSUUPPEERRMMAANNZZAANNAA  2255,7777550099,BB..JJ,QQUUIINNTTAANNAA  RROOOO,LLIICC  22001166--2233--0055--0011  88,3300//0055//22001166,"PPSSIICCOOTTRROOPPIICCOOSS  IIII,,  IIIIII"
FARMACIA VICTORIA MEDICAL,FARMACIA,"AV. SUNYAXCHEN M. 6, L. 9, SM. 25",SUPERMANZANA 25,77509,B.J,QUINTANA ROO,LIC 2016-23-05-020,01/07/2016,"PSICOTROPICOS II, III"
FARMACIA BAZAR SUC. CANCUN CRUCERO,FARMACIA,"AV. LOPEZ PORTILLO M. 9, L. 11, LOC.
2, SM. 64",SUPERMANZANA 64,77524,B.J,QUINTANA ROO,LIC 2016-23-05-021,01/07/2016,"PSICOTROPICOS II, III"
FARMACIA INTERNA CLINICA VENUS,FARMACIA,"C. 58, L. 1 Y 2, COL. COLOSIO",COLOSIO,77728,SOL.,QUINTANA ROO,LIC 2016-23-08-022,01/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL ZONA LIBRE,FARMACIA,"AV. MEXICO M. 5, L. 1, COL. CENTRO",CENTRO,77000,O.P.B,QUINTANA ROO,LIC 2016-23-04-023,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA SAMANTHA,FARMACIA,"C. NORTE, COL. CENTRO",CENTRO,77600,COZ.,QUINTANA ROO,LIC 2016-23-01-023,25/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL HEROES II,FARMACIA,"AV. DE LOS HEROES No. 413-A, COL.
ADOLFO L. MATEOS",ADOLFO LOPEZ MATEOS,77010,O.P.B,QUINTANA ROO,LIC 2016-23-04-024,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL BUGAMBILIAS,FARMACIA,"AV. FIDEL VELAZQUEZ SANCHEZ No.
700-702, COL. JARDINES",JARDINES,77026,O.P.B,QUINTANA ROO,LIC 2016-23-04-025,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA VERACRUZ,FARMACIA,"AV. CALZADA VERACRUZ No. 255,
COL. ADOLFO LOPEZ MATEOS",ADOLFO LOPEZ MATEOS,77010,O.P.B,QUINTANA ROO,LIC 2016-23-04-026,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL CARRANZA,FARMACIA,"AV. VENUSTIANO CARRANZA No. 361,
COL. ITALIA",ITALIA,77035,O.P.B,QUINTANA ROO,LIC 2016-23-04-027,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA COLON Y JUAREZ,FARMACIA,"AV. CRISTOBAL COLON No. 211, COL.
CENTRO",CENTRO,77000,O.P.B,QUINTANA ROO,LIC 2016-23-04-028,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL MERCADO VIEJO,FARMACIA,"AV. EFRAIN AGUILAR No. 194, COL.
CENTRO",CENTRO,77000,O.P.B,QUINTANA ROO,LIC 2016-23-04-029,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL ANDARA,FARMACIA,"AV. CALZADA DEL CENTENARIO
FRACCION 5, COL. DEL BOSQUE",DEL BOSQUE,77019,O.P.B,QUINTANA ROO,LIC 2016-23-04-030,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA LAZARO CARDENAS,FARMACIA,"AV. LAZARO CARDENAS No. 204,
COL. CENTRO",CENTRO,77000,O.P.B,QUINTANA ROO,LIC 2016-23-04-031,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL PLUTARCO,FARMACIA,"AV. CALZADA VERACRUZ No. 92-B,
COL. CENTRO",CENTRO,77000,O.P.B,QUINTANA ROO,LIC 2016-23-04-032,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA MACHUXAC,FARMACIA,"AV. MACHUXAC M. 239, L. 9, COL.
PROTERRITORIO",PROTERRITORIO,77086,O.P.B,QUINTANA ROO,LIC 2016-23-04-033,26/07/2016,"PSICOTROPICOS II, III"
FARMACIA YZA CHETUMAL ROJO GOMEZ II,FARMACIA,"AV. JAVIER ROJO GOMEZ No. 306,
COL. MIRAFLORES",MIRAFLORES,77027,O.P.B,QUINTANA ROO,LIC 2016-23-04-034,26/07/2016,"PSICOTROPICOS II, III"
