ESTABLECIMIENTO,"GIRO 
(FARMACIA 
BOTICA, 
DROGUERIA)",CALLE Y NO.,COLONIA,"CODIGO     
POSTAL",MUNICIPIO,ENTIDAD,NO. LICENCIA,"FECHA 
EXPEDICION","LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
ALFANAC DE MEXICO S.A. DE C.V.,FARMACIA,"AVENIDAFRANCISCOI.MADERON°258ENTRECALLEMARIANO
MATAMOROS Y MORELOS",ZONA CENTRO,87000,VICTORIA,TAMAULIPAS,28041090170,14/01/19,ESTUPEFACIENTES Y PSICOTROPICOS
DERMAVIC FARMACIA DERMATOLOGICA,FARMACIA,"CALLECESARLOPEZDELARANo.760ENTRECALLEMATIASS.
CANALES Y CALLE HERMANOS VAZQUEZ",FRACCIONAMIENTO VALE DE AGUAYO,87020,VICTORIA,TAMAULIPAS,28041090167,18/10/19,PSICOTROPICOS
FARMACIA ALFA,FARMACIA,CALLE RICARDO FLORES MAGON NO. 196-A,COL. DOCTORES,87024,VICTORIA,TAMAULIPAS,28041090177,03/09/19,PSICOTROPICOS
FARMACIA BENAVIDES SUC. BLVD. TAMAULIPAS,FARMACIA,AVE. TAMAULIPAS NO. 1114 ENTRE AV. DEL VALLE Y PALMAS,FRACC. DEL VALLE,87025,VICTORIA,TAMAULIPAS,28041090160,22/09/17,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES SUC. MERCADO,FARMACIA,MORELOS OTE. # 1149,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090068,03/05/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. NORTE 10070,FARMACIA,16 NUEVO LEON No. 1703,COL.SAN FRANCISCO,87050,VICTORIA,TAMAULIPAS,28041090155,21/07/17,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BENAVIDES SUC. MATRIZ,FARMACIA,9  HIDALGO # 912,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090070,03/05/07,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA BENAVIDES SUC. MIGUEL HIDALGO,FARMACIA,HIDALGO NO. 540,ZONA CENTRO,87000,VICTORIA,TAMAULIPAS,28041090074,09/11/07,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES SUC. FRACC. DEL VALLE,FARMACIA,AVE. TENOCHTITLAN S/N,FRACC. DEL VALLE,87025,VICTORIA,TAMAULIPAS,28041090083,10/11/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIA BENAVIDES S.A.B. DE C.V. SUC.
NORBERTO TREVIÑO",FARMACIA,AV. NORBERTO TREVIÑO NO. 2986,COL. NORBERTO TREVIÑO,87020,VICTORIA,TAMAULIPAS,28041090144,08/01/16,PSICOTROPICOS
FARMACIA BENAVIDES SUC. ZEFERINO FAJARDO,FARMACIA,BLVD. ZEFERINO FAJARDO ESQ. CON 4 DE JULIO,FRACC. INDUSTRIAL,87018,VICTORIA,TAMAULIPAS,28041090084,10/11/08,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA BENAVIDES S.A.B. DE C.V.,FARMACIA,BLVD. FIDEL VELAZQUEZ NO. 1940 ESQUINA CON CARDENAS,COL. LOS ARCOS,87040,VICTORIA,TAMAULIPAS,28041090132,31/01/14,PSICOTROPICOS
FARMACIA  BORJAS,FARMACIA,HIDALGO OTE. # 1059,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090025,21/08/15,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  BORJAS S.A. DE C.V.,FARMACIA,JUAN B. TIJERINA SUR #  101,GUADALUPE MAINERO,87100,VICTORIA,TAMAULIPAS,28041090001,22/01/02,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIAS BORJAS DE MEXICO SUC. N. 1,FARMACIA,VENUSTIANO CARRANZA SUR # 492-A,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090048,03/02/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACEUTICA BLACKSAL S.A. DE C.V.,FARMACIA,"HIDALGONO.111INTERIOR4ENTRE5DEMAYOYJOSEMARIA
MORELOS",CENTRO,87000,VICTORIA,TAMAULIPAS,28041090153,05/07/17,"ESTUPEFACIENTES, PSICOTROPICOS"
FARMACIA  CARRERA,FARMACIA,CARRERA TORRES # 1315,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090033,11/11/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA CAMPESTRE,FARMACIA,AVENIDA DEL VALLE NO. 1559 ESQUINA CON BUGAMBILIAS,FRACCIONAMIENTO DEL VALLE,87027,VICTORIA,TAMAULIPAS,28041090173,26/04/19,"ESTUPEFACIENTES, PSICOTROPICOS"
FARMACIA  CASMA FARMACIA CON MINISUPER,FARMACIA,RAMON CASTILLO NO. 111 Y AV. DEL MAESTRO ESQ.,COL. DEL MAESTRO,87070,VICTORIA,TAMAULIPAS,28041090110,09/04/12,PSICOTROPICOS
FARMACIA CENTRAL,FARMACIA,CARRANZA Y 20 S/N,ZONA CENTRO,87880,VILLAGRAN,TAMAULIPAS,28042090001,03/02/05,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
"FARMACIACENTRODESALUDURBANOU-10LOMAS
DEL SANTUARIO",FARMACIA,"JUSTOSIERRASINNÚM.ENTREAVENIDADELESTUDIANTEYJUAN
B. TIJERINA",EQUIPAMIENTO CENTRO UNIVERSITARIO,87149,VICTORIA,TAMAULIPAS,28041090162,19/01/18,"ESTUPEFACIENTES, PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
FARMACIA  CENTRO ONCOLOGICO DE TAMAULIPAS,FARMACIA,AVE. DEL MAESTRO # 116,FRACC. LAS FLORES,87078,VICTORIA,TAMAULIPAS,28041090014,04/06/02,"ESTUPEFACIENTES, PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
FARMACIA CLINIKITAS,FARMACIA,"CALLECRISTOBALCOLONNO.1228ENTREOLVIARAMIREZY
ANAYA",COLONIA MORELOS,87050,VICTORIA,TAMAULIPAS,28041090174,26/04/19,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA CORPO,FARMACIA,AV. TENOCHTITLAN NO. 305 ENTRE RIO CORONA Y TEOSUCHIL,COL. RESIDENCIAL VALLE ORIENTE,87070,VICTORIA,TAMAULIPAS,28041090130,12/12/13,PSICOTROPICOS
"FARMACIA DEL CENTRO DE INTERNAMIENTO
RENACER",FARMACIA,CARR. INTEREJIDAL CAMINO LABORCITAS KM 4,EJ. LA MISION,87049,VICTORIA,TAMAULIPAS,28041090120,16/11/12,PSICOTROPICOS
FARMACIA UMR ISSSTE LLERA,FARMACIA,CALLE MORELOS NO. 17,ZONA CENTRO,87200,LLERA,TAMAULIPAS,28041090054,27/02/16,"ESTUPEFACIENTES, PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
"FARMACIA UNEME EC VICTORIA UNIDAD DE
ESPECIALIDADESMÉDICASDEENFERMEDADES
CRÓNICAS",FARMACIA,"PROCURADURIAS/NENTREAVENIDADELESTUDIANTEYCALLE
NUEVA",COLONIA GUADALUPE MAINERO,87100,VICTORIA,TAMAULIPAS,28041090165,28/05/18,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA  DEL PUEBLO,FARMACIA,"HINOJOSA NO. 218,",COL. GUADALUPE MAINERO,87100,VICTORIA,TAMAULIPAS,28041090115,13/08/12,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA DE MEDICA NORTE,FARMACIA,BLVD. FIDEL VELAZQUEZ N. 1919,COL. DOCTORES,87024,VICTORIA,TAMAULIPAS,28041090101,10/09/10,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA DEL VALLE,FARMACIA,"AV. DEL VALLE NO. 802,",FRACC. DEL VALLE,87029,VICTORIA,TAMAULIPAS,28041090136,05/09/14,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA DEL VALLE,FARMACIA,PEDRO JOSE MENDEZ NO. 529- D,ZONA CENTRO,87000,VICTORIA,TAMAULIPAS,28041090151,23/05/17,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA DROGUERIA POPULAR # 2,FARMACIA,31 Y 32 ZARAGOZA  # 1539,COL. MIGUEL ALEMAN,87030,VICTORIA,TAMAULIPAS,28041110001,03/10/03,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA  LA PAZ,FARMACIA,RICARDO FLORES MAGON NO. 1446,COL. DOCTORES,87024,VICTORIA,TAMAULIPAS,28041090138,29/09/14,"ESTUPEFACIENTES, PSICOTROPICOS, VACUNAS, TOXOIDES, 
SUEROS, ANTITOXINAS HEMODERIVADOS"
FARMACOS ESPECIALIZADOS,FARMACIA,ANDADOR HIDALGO # 103,CENTRO,87000,VICTORIA,TAMAULIPAS,28041090057,06/07/06,ESTUPEFACIENTES Y PSICOTROPICOS
FLOSAMED FARMACIA,FARMACIA,"CALLEASUNCIONGOMEZNO.1315ENTRECALLEJUANDORIAY
LEANDOR VALLE",CENTRO,87000,VICTORIA,TAMAULIPAS,28041090164,22/05/18,ESTUPEFACIENTES Y PSICOTROPICOS
FLOSAMED FARMACIA,FARMACIA,"BOULEVARDADOLFOLOPEZMATEOSNO.115ENTRECALLES17
FRANCISCO I. MADERO Y 18 PRIVADA PINO SUARES",NORBERTO TREVIÑO ZAPATA,87020,VICTORIA,TAMAULIPAS,28041090166,01/10/18,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA  GARZA,FARMACIA,FLORES MAGON # 1445 E/BLVD. FIDEL VLQZ.,DOCTORES,87024,VICTORIA,TAMAULIPAS,28041090106,09/03/11,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA G.I. S.A. DE C.V.,FARMACIA,6 Y 7 BLVD. PRAXEDIS BALBOA S/N,ZONA CENTRO,87000,VICTORIA,TAMAULIPAS,28041090121,21/11/12,ESTUPEFACIENTES Y PSICOTROPICOS
FARMACIA  GIGITAM S.A. DE C.V.,FARMACIA,NORBERTO TREVIÑO ZAPATA NO. 3314,FRACC. VILLARREAL,87027,VICTORIA,TAMAULIPAS,28041090109,24/01/12,"PSICOTROPICOS, VACUNAS, TOXOIDES, SUEROS, ANTITOXINAS 
HEMODERIVADOS"
FARMACIA GRAND' SUC. HOMBRES ILUSTRES,FARMACIA,BLVD. FAMILIAR ROTARIO NO. 781 ESQ.,FRACC. TEOCALTICHE,87024,VICTORIA,TAMAULIPAS,28041090114,10/08/12,PSICOTROPICOS
