ESTABLECIMIENTO,"GIRO (FARMACIA, BOTICA ,DROGUERIA)",CALLE Y NO.,COLONIA,CODIGO POSTAL,MUNICIPIO O DELEGACION,ENTIDAD,No. LICENCIA,FECHA EXPEDICION,"LINEAS DE COMERCIALIZACION AUTORIZADAS (ESTUPEFACIENTES), 
(PSICOTRÓPICOS  II, III), VACUNAS, TOXOIDES, SUEROS DE ORIGEN ANIMAL, 
ANTITOXINAS DE ORIGEN ANIMAL, HEMODERIVADOS)"
U.M.F.No. 19 Botica Av. Francisco I. Madero 601,,,Centro,90300,Apizaco,Tlaxcala,38,13 de julio de2015,"I.II Psicotropicos, vacunas"
Farmacia del Carmen,Farmacia,Parque Juárez No.5,Centro,90500,Huamantla,Tlaxcala,72,,"I,II,III Vacunas, toxoides, sueros de origen animal, hemoderivados"
,Botica,Muñoz Camargo no. 9,Centro,90000,Tlaxcala,Tlaxcala,117,15 de agosto de 2016,"psicotropicos grupos, II y III, vacunas, toxoides, suerosde origen animal, 
antitoxinas de origen animal y hemoderivados."
Botica  Santa Maria Guadalupe,Farmacia,Av. Tlaxcala norte no. 9,Panzacola,90796,Xicohténcatl,Tlaxcala,128,20 de septiembre 1995,No especifica
Farmacia Intrahospitalaria ISSSTE,Farmacia,"Carr.Ocotlán s/n San Gabriel 
Cuahutla,Tlax.",San Gabriel Cuahutla,90170,Tlaxcala,Tlaxcala,135,15 de febrero de 2013,"I,II,III Vacunas, toxoides, sueros de origen animal, antitoxinas, hemoderivados"
,Botica,5 de febrero 913,Centro,90300,Apizaco,Tlaxcala,188,17 de noviembre de 1995,No especifica
Nuestra Señora de Ocotlan,Botica,Morelos 40-B,Centro,90200,Calpulalpan,Tlaxcala,276,09 de febrero de1996,No especifica
El Rosario II,Farmacia,"Carretera Puebla-Tlaxcala 10 
2da.S.",Segunda Sección,90740,Zacatelco,Tlaxcala,281,09 de febrero de1996,No especifica
Botica del Carmen,Botica,"Carretera México-Veracruz Km. 
3",Centro,90570,Villa el Carmen Tequexquitla,Tlaxcala,355,14 de junio de 1996,No especifica
Instituto Mexicano del Seguro Social UMF No. 48,Botica,Carr-Puebla-Zacatlan s/n,Centro,90250,Tlaxco,Tlaxcala,412,19 de noviemre de1996,No especifica
Fleming,Farmacia,Calle Juárez No. 30,"Sección Primera
Centro","90740
90700","Zacatelco
Lardizabal","Tlaxcala
Tlaxcala","417
419","18 de abril de1997
20 de junio de 1997",No especifica
Farmacia Mardy,Farmacia,Ignacio Carranza. No. 9,,,,,,,
,Farmacia,Hidalgo no. 31,Centro,90000,Tlaxcala,Tlaxcala,432,02-ene-94,No especifica
Farmacia Unidad ISSSTE,Farmacia,Prolongación Juárez s/n,Centro,90500,Huamantla,Tlaxcala,449,02-abr-13,"venta de psicotropicos, grupos II y III"
San Juan,botica,"Carretera San Martín Tlaxcala 
No.71",Centro,90160,San Juan Totolac,Tlaxcala,452,14-sep-98,No especifica
Hospital Central de Apizaco,Farmacia,Centenario 405,Fatima,90300,Apizaco,Tlaxcala,459,12-sep-14,"Venta de medicamentos de los grupos I, II y III"
,botica,Pablo SidarNo. 22,Centro,90970,Villa V. Guerrero,Tlaxcala,483,07-may-13,"I,II,III Vacunas, toxoides, sueros de origen animal, antitoxinas, hemoderivados"
Hospital Central de Apizaco,Farmacia,Centenario 405,Fatima,90300,Apizaco,Tlaxcala,459,13-oct-88,No especifica
Farmacia Santa Isabel,Farmacia,Av. Hidalgo no. 27,Centro,90730,Sta. Isabel Tetltlahuca,Tlaxcala,489,09-jun-99,No especifica
